CLIENT_OPERATOR,RECORDER_ID,RECORDER_TYPE,RECORDER_SERIAL_NUM,LATITUDE,LONGITUDE,LATITUDE_ANCHOR,LONGITUDE_ANCHOR,LOCATION,DEPTH_M,DATE_TIME_DEPLOY_LOC,DEPLOYMENT,DATE_TIME_REC_STRT_LOC,DATE_TIME_REC_STOP_LOC,DATE_TIME_AUTORELEASE_LOC,ACOUST_RELEASE_CODE,DATE_TIME_RECOVER_LOC,SAMPLE_RATE_HZ,BIT_DEPTH,DUTY_CYCLE_ON,DUTY_CYCLE_PCT,RECORDER_MODEL,DYR_LOWER_LIM,DYR_UPPER_LIM,PROGRAM_NAME,STUDY_YEAR,A_P,REPORT,CONTRACTOR,NOTES
CPAI/Shell/StatOil,B5,Acoustic,30,71.35803,-156.93563,,,,64,8/1/10 3:20 PM,,7/22/10 1:08 AM,10/16/10 7:01 AM,,,10/16/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,B15,Acoustic,2,71.50278,-157.50222,,,,102,8/1/10 4:57 PM,,7/21/10 11:59 PM,10/16/10 9:29 AM,,,10/16/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,B30,Acoustic,18,71.70718,-157.65005,,,,62,8/1/10 6:31 PM,,7/21/10 9:10 PM,10/16/10 11:12 AM,,,10/16/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,B50,Acoustic,32,71.95558,-158.22288,,,,59.79999924,8/1/10 8:49 PM,,7/22/10 1:59 AM,10/16/10 1:29 PM,,,10/16/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG01,Acoustic,16,71.27733,-163.3488,,,,42.66999817,7/28/10 5:03 PM,,7/21/10 8:40 PM,10/12/10 7:03 AM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG02,Acoustic,27,71.34895,-163.34337,,,,41.75999832,7/28/10 2:35 PM,,7/22/10 12:06 AM,10/12/10 5:21 PM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG03,Acoustic,26,71.31115,-163.1534,,,,42.66999817,7/28/10 3:11 PM,,7/21/10 8:51 PM,10/12/10 6:05 PM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG04,Acoustic,33,71.2397,-163.1595,,,,42.97999954,7/28/10 3:51 PM,,7/21/10 11:52 PM,10/12/10 7:10 PM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG05,Acoustic,34,71.20575,-163.35612,,,,43.27999878,7/28/10 12:35 PM,,7/22/10 12:47 AM,10/12/10 7:53 PM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG06,Acoustic,17,71.24325,-163.54585,,,,43.27999878,7/28/10 1:18 PM,,7/21/10 11:38 PM,10/12/10 8:38 PM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG07,Acoustic,19,71.31477,-163.54002,,,,43.59000015,7/28/10 2:00 PM,,7/21/10 10:24 PM,10/12/10 4:39 PM,,,10/12/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,CL5,Acoustic,50,68.94165,-166.37522,,,,29.26000023,7/25/10 9:00 PM,,7/21/10 9:59 PM,10/16/10 6:47 AM,,,10/16/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,CL20,Acoustic,15,69.1275,-166.83653,,,,39.31999969,7/25/10 11:43 PM,,7/21/10 9:43 PM,10/16/10 3:01 AM,,,10/16/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,CL50,Acoustic,4,69.49567,-167.78323,,,,45.72000122,7/26/10 3:05 AM,,7/21/10 7:45 PM,10/15/10 9:35 PM,,,10/15/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,CLN120,Acoustic,42,71.48607,-166.34977,,,,42.36999893,7/26/10 9:20 PM,,7/21/10 9:36 PM,10/11/10 7:45 PM,,,10/11/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,CLN40,Acoustic,9,70.15917,-167.78073,,,,0,7/26/10 8:09 AM,,7/23/10 6:09 PM,10/15/10 2:09 PM,,,10/15/10 12:00 AM,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,Depth not recorded
