RECORDER_ID,SPECTRA_PLOT,DESCRIPTION,DATE_TIME_REC_STRT_LOC,DATE_TIME_REC_STOP_LOC,STUDY_YEAR,REPORT,CONTRACTOR,NOTES
B30,b30_spec_summer_2010.png,Spectrogram from recorder B30 for summer 2010,8/1/10 6:31 PM,10/16/10 11:12 AM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CLN120,cln120_spec_summer_2010.png,Spectrogram from recorder CL120 for summer 2010,7/26/10 9:20 PM,10/11/10 7:45 PM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_spec_summer_2010.png,Spectrogram from recorder PLN40 for summer 2010,7/27/10 6:16 AM,10/11/10 9:28 AM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN80,pln80_spec_summer_2010.png,Spectrogram from recorder PLN80 for summer 2010,7/29/10 12:56 AM,10/11/10 2:06 PM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
SO01,s01_spec_summer_2010.png,Spectrogram from recorder S01 for summer 2010,7/29/10 4:30 PM,10/12/10 7:56 PM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
WN20,wn20b_spec_summer_2010.png,Spectrogram from recorder WN20B for summer 2010,8/1/10 5:02 AM,10/10/10 5:00 PM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
KL11,kl11_spec_summer_2009.png,Spectrogram from recorder KL11 for summer 2009,8/7/09 3:44 AM,10/10/09 10:37 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2009_11.png,Power spectral density plot for data from PLN40 for November 2009,11/1/09 12:00 AM,11/30/09 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2009_12.png,Power spectral density plot for data from PLN40 for December 2009,12/1/09 12:00 AM,12/31/09 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2010_01.png,Power spectral density plot for data from PLN40 for January 2010,1/1/10 12:00 AM,1/31/10 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2010_02.png,Power spectral density plot for data from PLN40 for February 2010,2/1/10 12:00 AM,2/28/10 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2010_04.png,Power spectral density plot for data from PLN40 for April 2010,4/1/10 12:00 AM,4/30/10 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2010_05.png,Power spectral density plot for data from PLN40 for May 2010,5/1/10 12:00 AM,5/31/10 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2010_06.png,Power spectral density plot for data from PLN40 for June 2010,6/1/10 12:00 AM,6/30/10 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_2010_07.png,Power spectral density plot for data from PLN40 for July 2010,7/1/10 12:00 AM,7/31/10 12:00 AM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_perc_longitudinal.png,Power spectral density plots for PLN40 from summer 2007 to summer 2010,7/18/07 5:09 PM,10/11/10 9:28 AM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,"Start and end times of recording are not inclusive; rather, they show the start and end dates of the first and last recordings included in the longitudinal analysis."
PLN40,pln40_spec_ow_2007_2008.png,Spectrogram from recorder PLN40 for overwinter 2007 - 2008,10/22/07 2:32 AM,7/20/08 12:48 PM,2007,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_spec_ow_2008_2009.png,Spectrogram from recorder PLN40 for overwinter 2008 - 2009,10/17/08 1:19 AM,8/7/09 5:00 PM,2008,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_spec_ow_2009_2010.png,Spectrogram from recorder PLN40 for overwinter 2009 - 2010,10/12/09 12:33 PM,7/27/10 10:44 PM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_spec_summer_2007.png,Spectrogram from recorder PLN40 for summer 2007,7/18/07 5:09 PM,9/15/07 4:01 AM,2007,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN40,pln40_spec_summer_2008.png,Spectrogram from recorder PLN40 for summer 2008,9/28/08 12:00 AM,10/17/08 12:00 AM,2008,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
PLN80,cross_section_perc_summer_2010.png,Power spectral density plots for a latitudinal cross section of recorders for summer 2010,7/26/10 9:20 PM,10/16/10 11:12 AM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,Used PLN80 as recorder_ID even though multiple recorders are used in the plot
B5,allRecs_callCounts_beardedSeal_2010.jpg,Total call counts for bearded seal during the 2010 monitoring season over all recorders.,7/26/10 9:20 PM,10/16/10 11:12 AM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,Used B5 as recorder_ID even though multiple recorders are used in the plot
B5,allRecs_callCounts_bowhead_2009.jpg,Total call counts for bowhead whales during the 2009 monitoring season over all recorders.,9/5/09 2:03 PM,10/13/09 12:00 PM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,Used B5 as recorder_ID even though multiple recorders are used in the plot
B5,allRecs_callCounts_bowhead_2010.jpg,Total call counts for bowhead whales during the 2010 monitoring season over all recorders.,7/26/10 9:20 PM,10/16/10 11:12 AM,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,Used B5 as recorder_ID even though multiple recorders are used in the plot
B5,allRecs_callCounts_walrus_2009.jpg,Total call counts for walrus during the 2009 monitoring season over all recorders.,9/5/09 2:03 PM,10/13/09 12:00 PM,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,Used B5 as recorder_ID even though multiple recorders are used in the plot
