RECORDER_ID,SOUND_CLIP,SPECTRA_PLOT,SOUND_SOURCE,DATE_TIME_REC_LOC,DESCRIPTION,STUDY_YEAR,NOTES,CONTRACTOR,REPORT
B5,none,B5_WW_2012_05_21_2234.png,WW,5/21/2012 22:34,spectrogram of beluga calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
B5,none,B5_WW_2012_08_15_0352.png,WW,8/15/2012 3:52,spectrogram of beluga calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
B50,none,B50_airguns_2012_09_30_1242.png,ARG,9/30/2012 12:42,spectrogram of seismic airgun shots,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
BG06,none,BG06_BH_moan_2012_10_06_1602.png,BHW,10/6/2012 16:02,spectrogram of bowhead whale moans,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
BG06,none,BG06_RB_2012_8_20_1244.png,RBS,8/20/2012 12:44,spectrogram of ribbon seal calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CL20,none,CL20_KW_2012_9_5_2133.png,KW,9/5/2012 21:33,spectrogram of killer whale calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CL50,none,CL50_RS_2010_4_20_1119.png,RS,4/20/2010 11:19,spectrogram of ringed seal calls,2010,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CLN120,none,CLN120_WA_2012_08_20_1346.png,WA,8/20/2012 13:46,spectrogram of walrus calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CLN90B,none,CLN90_GW_2012_08_13_2127.png,GW,8/13/2012 21:27,spectrogram of gray whale calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
B5,B5_25Apr12_Gunshot_BS_BH.wav,none,BHW,4/25/2012 2:14,gunshot also present,2012,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
B5,Beluga_B5_21May12.wav,none,WW,5/21/2012 22:00,,2012,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
B5,Beluga_B5_21May12_2.wav,none,WW,5/21/2012 22:00,,2012,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
PL50,BH_PL50_11Nov11_0400.wav,none,BHW,11/11/2011 4:00,,2011,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
W50,Ice_14Jan08.wav,none,ICE,1/14/2008 22:00,,2008,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CL20,KW_CL20_090512_2130.wav,none,KW,9/5/2012 21:30,,2012,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CL50,Ribbon seal.wav,none,RBS,11/4/2008 9:00,,2008,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CLN120,Walrus_CLN120_10AUG12.wav,none,WA,8/10/2012 14:00,,2012,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
CL50,Westward Wind_8Aug2012.wav,none,VS,8/8/2012 9:58,,2012,Clip sent to C. Rea via Sheyna on 6 Oct 2012,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
PL20,none,PL20_MW_2012_8_23_1028.png,MW,8/23/2012 10:28,spectrogram of minke whale calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
PL50,none,PL50_BH_2011_11_15_0400.png,BHW,11/15/2011 4:00,spectrogram of Bowhead complex calls,2011,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
PLN100,none,PLN100_BS_2012_05_08_1508.png,BS,5/8/2012 15:08,spectrogram of bearded seal calls,2012,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
PLN120,none,PLN120_walrus_2011_12_20_0300.png,WA,12/20/2011 3:00,spectrogram of walrus calls,2011,,JASC,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2011-2012
