X,Y,LATITUDE,LONGITUDE,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
836420.873,7853221.53,"70° 33' 25.68"" N","149° 54' 52.83"" W",,7,SM,0,0,0,INF,-,24,2008,5,15,14,0.618042,1.00E+25,1.00E+25
836419.846,7853220.435,"70° 33' 25.65"" N","149° 54' 52.94"" W",,7,SM,0.0009,0.0009,0.0009,0.257097,13,24,2008,5,15,27,1.098633,1.00E+25,1.00E+25
836417.052,7853215.684,"70° 33' 25.51"" N","149° 54' 53.28"" W",,7,SM,0.0034,0.0043,0.0043,1.227315,10,24,2008,5,15,37,-0.343384,1.00E+25,1.00E+25
836414.734,7853210.252,"70° 33' 25.35"" N","149° 54' 53.58"" W",,7,SM,0.0037,0.008,0.008,1.314883,10,24,2008,5,15,47,-0.343384,1.00E+25,1.00E+25
836412.301,7853203.109,"70° 33' 25.13"" N","149° 54' 53.92"" W",,7,SM,0.0047,0.0127,0.0127,1.680618,10,24,2008,5,15,57,-3.707886,1.00E+25,1.00E+25
836410.492,7853198.883,"70° 33' 25.01"" N","149° 54' 54.15"" W",,7,SM,0.0028,0.0155,0.0155,1.023494,10,24,2008,5,16,7,0.137451,1.00E+25,1.00E+25
836410.846,7853194.042,"70° 33' 24.85"" N","149° 54' 54.19"" W",,7,SM,0.003,0.0185,0.0185,1.081032,10,24,2008,5,16,17,1.579346,1.00E+25,1.00E+25
836412.49,7853187.702,"70° 33' 24.64"" N","149° 54' 54.12"" W",,7,SM,0.0041,0.0226,0.0226,1.458879,10,24,2008,5,16,27,1.098633,1.00E+25,1.00E+25
836412.893,7853180.045,"70° 33' 24.39"" N","149° 54' 54.19"" W",,7,SM,0.0047,0.0273,0.0273,1.707744,10,24,2008,5,16,37,0.618042,1.00E+25,1.00E+25
836414.27,7853170.088,"70° 33' 24.07"" N","149° 54' 54.20"" W",,7,SM,0.0062,0.0335,0.0335,2.238795,10,24,2008,5,16,47,-2.746704,1.00E+25,1.00E+25
836418.621,7853160.767,"70° 33' 23.75"" N","149° 54' 53.92"" W",,7,SM,0.0064,0.0399,0.0399,2.082634,11,24,2008,5,16,58,-3.227295,1.00E+25,1.00E+25
836420.3,7853150.48,"70° 33' 23.42"" N","149° 54' 53.91"" W",,7,SM,0.0064,0.0463,0.0463,2.321701,10,24,2008,5,17,8,-3.227295,1.00E+25,1.00E+25
836424.381,7853137.542,"70° 33' 22.98"" N","149° 54' 53.71"" W",,7,SM,0.0084,0.0547,0.0547,3.021485,10,24,2008,5,17,18,-8.514648,1.00E+25,1.00E+25
836429.867,7853128.204,"70° 33' 22.66"" N","149° 54' 53.32"" W",,7,SM,0.0067,0.0614,0.0614,2.411646,10,24,2008,5,17,28,-8.033936,1.00E+25,1.00E+25
836435.45,7853119.446,"70° 33' 22.35"" N","149° 54' 52.91"" W",,7,SM,0.0064,0.0678,0.0678,2.313151,10,24,2008,5,17,38,-6.111206,1.00E+25,1.00E+25
836441.097,7853110.698,"70° 33' 22.05"" N","149° 54' 52.49"" W",,7,SM,0.0064,0.0743,0.0743,2.318785,10,24,2008,5,17,48,-5.149902,1.00E+25,1.00E+25
836446.666,7853102.878,"70° 33' 21.77"" N","149° 54' 52.07"" W",,7,SM,0.0059,0.0802,0.0802,2.137691,10,24,2008,5,17,58,-4.669312,1.00E+25,1.00E+25
836452.045,7853096.726,"70° 33' 21.55"" N","149° 54' 51.65"" W",,7,SM,0.0051,0.0853,0.0853,1.820106,10,24,2008,5,18,8,-4.669312,1.00E+25,1.00E+25
836454.77,7853092.806,"70° 33' 21.41"" N","149° 54' 51.44"" W",,7,SM,0.003,0.0882,0.0882,1.062682,10,24,2008,5,18,18,-0.824097,1.00E+25,1.00E+25
836457.386,7853087.931,"70° 33' 21.24"" N","149° 54' 51.26"" W",,7,SM,0.0034,0.0917,0.0917,1.232389,10,24,2008,5,18,28,1.579346,1.00E+25,1.00E+25
836459.749,7853082.64,"70° 33' 21.06"" N","149° 54' 51.11"" W",,7,SM,0.0036,0.0952,0.0952,1.290647,10,24,2008,5,18,38,1.579346,1.00E+25,1.00E+25
836465.253,7853078.575,"70° 33' 20.91"" N","149° 54' 50.65"" W",,7,SM,0.0042,0.0995,0.0995,1.523302,10,24,2008,5,18,48,2.540649,1.00E+25,1.00E+25
836471.989,7853073.003,"70° 33' 20.70"" N","149° 54' 50.08"" W",,7,SM,0.0054,0.1049,0.1049,1.946298,10,24,2008,5,18,58,2.060059,1.00E+25,1.00E+25
836478.656,7853067.044,"70° 33' 20.48"" N","149° 54' 49.53"" W",,7,SM,0.0055,0.1104,0.1104,1.99116,10,24,2008,5,19,8,1.579346,1.00E+25,1.00E+25
836484.774,7853061.002,"70° 33' 20.25"" N","149° 54' 49.03"" W",,7,SM,0.0053,0.1157,0.1157,1.914359,10,24,2008,5,19,18,1.579346,1.00E+25,1.00E+25
836490.56,7853055.474,"70° 33' 20.05"" N","149° 54' 48.56"" W",,7,SM,0.0049,0.1207,0.1207,1.781938,10,24,2008,5,19,28,3.02124,1.00E+25,1.00E+25
836497.778,7853047.528,"70° 33' 19.76"" N","149° 54' 47.98"" W",,7,SM,0.0066,0.1273,0.1273,2.390577,10,24,2008,5,19,38,2.540649,1.00E+25,1.00E+25
836503.82,7853038.65,"70° 33' 19.45"" N","149° 54' 47.53"" W",,7,SM,0.0066,0.134,0.134,2.391317,10,24,2008,5,19,48,2.540649,1.00E+25,1.00E+25
836510.081,7853027.924,"70° 33' 19.08"" N","149° 54' 47.09"" W",,7,SM,0.0077,0.1416,0.1416,2.765725,10,24,2008,5,19,58,1.579346,1.00E+25,1.00E+25
836514.36,7853015.77,"70° 33' 18.67"" N","149° 54' 46.85"" W",,7,SM,0.008,0.1496,0.1496,2.86993,10,24,2008,5,20,8,1.579346,1.00E+25,1.00E+25
836516.792,7853002.96,"70° 33' 18.25"" N","149° 54' 46.81"" W",,7,SM,0.0081,0.1577,0.1577,2.90402,10,24,2008,5,20,18,1.579346,1.00E+25,1.00E+25
836515.688,7852992.817,"70° 33' 17.93"" N","149° 54' 47.06"" W",,7,SM,0.0063,0.164,0.164,2.272339,10,24,2008,5,20,28,5.424561,1.00E+25,1.00E+25
836512.394,7852983.472,"70° 33' 17.65"" N","149° 54' 47.51"" W",,7,SM,0.0061,0.1701,0.1701,2.206296,10,24,2008,5,20,38,14.557007,1.00E+25,1.00E+25
836508.333,7852975.896,"70° 33' 17.43"" N","149° 54' 48.01"" W",,7,SM,0.0053,0.1754,0.1754,1.914385,10,24,2008,5,20,48,14.557007,1.00E+25,1.00E+25
836504.761,7852970.462,"70° 33' 17.27"" N","149° 54' 48.43"" W",,7,SM,0.004,0.1795,0.1795,1.44743,10,24,2008,5,20,58,13.595825,1.00E+25,1.00E+25
836505.868,7852968.935,"70° 33' 17.22"" N","149° 54' 48.34"" W",,7,SM,0.0012,0.1806,0.1806,0.420164,10,24,2008,5,21,8,13.115112,1.00E+25,1.00E+25
836510.474,7852967.936,"70° 33' 17.16"" N","149° 54' 47.92"" W",,7,SM,0.0029,0.1835,0.1835,1.048497,10,24,2008,5,21,18,11.673218,1.00E+25,1.00E+25
836518.602,7852965.586,"70° 33' 17.05"" N","149° 54' 47.17"" W",,7,SM,0.0052,0.1888,0.1888,1.883885,10,24,2008,5,21,28,8.308594,1.00E+25,1.00E+25
836528.324,7852963.099,"70° 33' 16.92"" N","149° 54' 46.28"" W",,7,SM,0.0062,0.195,0.195,2.233038,10,24,2008,5,21,38,5.424561,1.00E+25,1.00E+25
836541.287,7852962.795,"70° 33' 16.85"" N","149° 54' 45.04"" W",,7,SM,0.008,0.203,0.203,2.886201,10,24,2008,5,21,48,5.424561,1.00E+25,1.00E+25
836556.579,7852960.772,"70° 33' 16.71"" N","149° 54' 43.61"" W",,7,SM,0.0095,0.2125,0.2125,3.433491,10,24,2008,5,21,58,6.385864,1.00E+25,1.00E+25
836573.489,7852956.358,"70° 33' 16.49"" N","149° 54' 42.05"" W",,7,SM,0.0108,0.2233,0.2233,3.88968,10,24,2008,5,22,8,3.982666,1.00E+25,1.00E+25
836589.881,7852946.219,"70° 33' 16.09"" N","149° 54' 40.63"" W",,7,SM,0.0119,0.2353,0.2353,4.291077,10,24,2008,5,22,18,1.579346,1.00E+25,1.00E+25
836606.76,7852937.847,"70° 33' 15.74"" N","149° 54' 39.14"" W",,7,SM,0.0117,0.2469,0.2469,4.194146,10,24,2008,5,22,28,2.060059,1.00E+25,1.00E+25
836624.089,7852928.979,"70° 33' 15.38"" N","149° 54' 37.61"" W",,7,SM,0.012,0.2589,0.2589,4.333649,10,24,2008,5,22,38,2.540649,1.00E+25,1.00E+25
836642.013,7852917.001,"70° 33' 14.91"" N","149° 54' 36.07"" W",,7,SM,0.0133,0.2723,0.2723,4.799662,10,24,2008,5,22,48,2.540649,1.00E+25,1.00E+25
836659.177,7852905.095,"70° 33' 14.45"" N","149° 54' 34.60"" W",,7,SM,0.0129,0.2852,0.2852,4.650063,10,24,2008,5,22,58,1.579346,1.00E+25,1.00E+25
836675.594,7852892.702,"70° 33' 13.97"" N","149° 54' 33.20"" W",,7,SM,0.0127,0.2979,0.2979,4.580203,10,24,2008,5,23,8,0.618042,1.00E+25,1.00E+25
836693.053,7852882.159,"70° 33' 13.55"" N","149° 54' 31.69"" W",,7,SM,0.0126,0.3105,0.3105,4.540245,10,24,2008,5,23,18,-2.265991,1.00E+25,1.00E+25
836712.178,7852874.691,"70° 33' 13.22"" N","149° 54' 29.96"" W",,7,SM,0.0127,0.3232,0.3232,4.570436,10,24,2008,5,23,28,1.579346,1.00E+25,1.00E+25
836731.022,7852868.688,"70° 33' 12.94"" N","149° 54' 28.25"" W",,7,SM,0.0122,0.3355,0.3355,4.401987,10,24,2008,5,23,38,1.098633,1.00E+25,1.00E+25
836749.053,7852867.645,"70° 33' 12.82"" N","149° 54' 26.54"" W",,7,SM,0.0112,0.3466,0.3466,4.019933,10,24,2008,5,23,48,3.501953,1.00E+25,1.00E+25
836765.481,7852871.818,"70° 33' 12.87"" N","149° 54' 24.91"" W",,7,SM,0.0105,0.3571,0.3571,3.772574,10,24,2008,5,23,58,5.905273,1.00E+25,1.00E+25
836781.729,7852878.035,"70° 33' 12.99"" N","149° 54' 23.26"" W",,7,SM,0.0108,0.3679,0.3679,3.871502,10,24,2008,5,24,8,4.463257,1.00E+25,1.00E+25
836798.281,7852886.369,"70° 33' 13.18"" N","149° 54' 21.56"" W",,7,SM,0.0115,0.3793,0.3793,4.124987,10,24,2008,5,24,18,3.501953,1.00E+25,1.00E+25
836816.107,7852895.836,"70° 33' 13.40"" N","149° 54' 19.71"" W",,7,SM,0.0125,0.3918,0.3918,4.492265,10,24,2008,5,24,28,3.982666,1.00E+25,1.00E+25
836835.953,7852903.537,"70° 33' 13.55"" N","149° 54' 17.71"" W",,7,SM,0.0132,0.405,0.405,4.738284,10,24,2008,5,24,38,2.540649,1.00E+25,1.00E+25
836856.99,7852910.855,"70° 33' 13.68"" N","149° 54' 15.59"" W",,7,SM,0.0138,0.4187,0.4187,4.956601,10,24,2008,5,24,48,4.943848,1.00E+25,1.00E+25
836878.721,7852917.712,"70° 33' 13.79"" N","149° 54' 13.41"" W",,7,SM,0.0141,0.4328,0.4328,5.071518,10,24,2008,5,24,58,7.347168,1.00E+25,1.00E+25
836901.042,7852925.223,"70° 33' 13.92"" N","149° 54' 11.16"" W",,7,SM,0.0146,0.4474,0.4474,5.24174,10,24,2008,5,25,8,9.75061,1.00E+25,1.00E+25
836923.525,7852931.254,"70° 33' 14.01"" N","149° 54' 08.93"" W",,7,SM,0.0144,0.4618,0.4618,5.18059,10,24,2008,5,25,18,9.75061,1.00E+25,1.00E+25
836947.741,7852936.604,"70° 33' 14.06"" N","149° 54' 06.53"" W",,7,SM,0.0153,0.4771,0.4771,5.519437,10,24,2008,5,25,28,6.385864,1.00E+25,1.00E+25
836972.263,7852939.93,"70° 33' 14.05"" N","149° 54' 04.14"" W",,7,SM,0.0153,0.4924,0.4924,5.507435,10,24,2008,5,25,38,6.866455,1.00E+25,1.00E+25
836994.844,7852942.4,"70° 33' 14.02"" N","149° 54' 01.94"" W",,7,SM,0.014,0.5064,0.5064,5.055613,10,24,2008,5,25,48,10.711792,1.00E+25,1.00E+25
837017.825,7852945.117,"70° 33' 14.00"" N","149° 53' 59.70"" W",,7,SM,0.0143,0.5207,0.5207,5.150644,10,24,2008,5,25,58,12.153809,1.00E+25,1.00E+25
837041.197,7852947.331,"70° 33' 13.95"" N","149° 53' 57.44"" W",,7,SM,0.0145,0.5353,0.5353,5.225049,10,24,2008,5,26,8,11.673218,1.00E+25,1.00E+25
837064.456,7852949.902,"70° 33' 13.92"" N","149° 53' 55.17"" W",,7,SM,0.0145,0.5497,0.5497,5.207312,10,24,2008,5,26,18,10.231201,1.00E+25,1.00E+25
837089.269,7852950.451,"70° 33' 13.82"" N","149° 53' 52.79"" W",,7,SM,0.0153,0.5651,0.5651,5.524359,10,24,2008,5,26,28,2.540649,1.00E+25,1.00E+25
837113.968,7852951.358,"70° 33' 13.73"" N","149° 53' 50.42"" W",,7,SM,0.0153,0.5803,0.5803,5.500689,10,24,2008,5,26,38,-0.343384,1.00E+25,1.00E+25
837137.619,7852949.66,"70° 33' 13.56"" N","149° 53' 48.18"" W",,7,SM,0.0147,0.595,0.595,5.277242,10,24,2008,5,26,48,-5.149902,1.00E+25,1.00E+25
