X,Y,LATITUDE,LONGITUDE,"Type",ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_16,ATTR_17,ATTR_18,ATTR_19,ATTR_20,ATTR_21,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9,Datum:,ZoneOffset:
387175.472,7832052.785,70.568113° N,150.039720° W,"Name|Color|Visibility";"Lat";"Long";"Month#";"Day#";"Year";"Hour";"Min";"Sec";"Altitude (Feet)";"Depth (Feet)";"Temp Deg C";"Units";"DP";"DS";"DT";"VP (Mi/hr)";"TP",Version 2:CSV,9,12,36,87.183755,1e25,1e25,SM,0.0000,0.0000,0.0000,INF,-,,,N,ACTIVE LOG|Default Color|1,8,19,2008,WGS-84,-8.000000
387174.072,7832048.230,70.568071° N,150.039751° W,,T,1e25,1e25,SM,0.0030,0.0030,0.0030,0.708292,15,,,,,8,19,2008,9,12,51,60.375144,,
387174.468,7832043.688,70.568031° N,150.039735° W,,T,1e25,1e25,SM,0.0028,0.0058,0.0058,0.781929,13,,,,,8,19,2008,9,13,4,60.375144,,
387174.393,7832034.228,70.567946° N,150.039724° W,,T,1e25,1e25,SM,0.0059,0.0116,0.0116,0.917254,23,,,,,8,19,2008,9,13,27,47.759209,,
387175.533,7832024.810,70.567862° N,150.039680° W,,T,1e25,1e25,SM,0.0059,0.0175,0.0175,0.783517,27,,,,,8,19,2008,9,13,54,44.605726,,
387173.755,7832017.635,70.567797° N,150.039719° W,,T,1e25,1e25,SM,0.0046,0.0221,0.0221,1.267971,13,,,,,8,19,2008,9,14,7,41.451442,,
387170.123,7831992.412,70.567570° N,150.039782° W,,T,1e25,1e25,SM,0.0158,0.0379,0.0379,2.583124,22,,,,,8,19,2008,9,14,29,33.566933,,
387172.925,7831970.245,70.567372° N,150.039677° W,,T,1e25,1e25,SM,0.0138,0.0517,0.0517,2.930802,17,,,,,8,19,2008,9,14,46,31.990191,,
387177.460,7831939.930,70.567103° N,150.039514° W,,T,1e25,1e25,SM,0.0190,0.0707,0.0707,2.628795,26,,,,,8,19,2008,9,15,12,35.143675,,
387175.177,7831904.866,70.566788° N,150.039529° W,,T,1e25,1e25,SM,0.0218,0.0925,0.0925,2.798522,28,,,,,8,19,2008,9,15,40,31.990191,,
387178.456,7831882.713,70.566591° N,150.039410° W,,T,1e25,1e25,SM,0.0139,0.1063,0.1063,2.496913,20,,,,,8,19,2008,9,16,0,27.259166,,
387187.371,7831854.221,70.566340° N,150.039132° W,,T,1e25,1e25,SM,0.0185,0.1248,0.1248,2.662740,25,,,,,8,19,2008,9,16,25,13.066490,,
387192.661,7831828.195,70.566109° N,150.038955° W,,T,1e25,1e25,SM,0.0165,0.1413,0.1413,2.574869,23,,,,,8,19,2008,9,16,48,19.374257,,
387203.065,7831804.234,70.565900° N,150.038643° W,,T,1e25,1e25,SM,0.0162,0.1575,0.1575,2.532355,23,,,,,8,19,2008,9,17,11,19.374257,,
387213.002,7831776.824,70.565659° N,150.038339° W,,T,1e25,1e25,SM,0.0181,0.1755,0.1755,2.708727,24,,,,,8,19,2008,9,17,35,20.950998,,
387222.156,7831749.846,70.565421° N,150.038056° W,,T,1e25,1e25,SM,0.0176,0.1932,0.1932,3.176143,20,,,,,8,19,2008,9,17,55,17.797115,,
387213.839,7831724.434,70.565190° N,150.038246° W,,T,1e25,1e25,SM,0.0166,0.2097,0.2097,2.710006,22,,,,,8,19,2008,9,18,17,13.066490,,
