X,Y,LATITUDE,LONGITUDE,"Type",ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_16,ATTR_17,ATTR_18,ATTR_19,ATTR_2,ATTR_20,ATTR_21,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9,Datum:,ZoneOffset:
387294.593,7831472.815,70.562973° N,150.035736° W,"Name|Color|Visibility";"Lat";"Long";"Month#";"Day#";"Year";"Hour";"Min";"Sec";"Altitude (Feet)";"Depth (Feet)";"Temp Deg C";"Units";"DP";"DS";"DT";"VP (Mi/hr)";"TP",Version 2:CSV,9,23,9,1e25,1e25,-20.600000,SM,0.0000,0.0000,0.0000,,INF,-,,,N,ACTIVE LOG|Black|1,8,19,2008,WGS-84,-8.000000
387303.690,7831473.211,70.562981° N,150.035492° W,,T,1e25,-20.600000,SM,0.0056,0.0056,0.0056,0.966284,21,,,,,,8,19,2008,9,23,30,1e25,,
387315.055,7831473.495,70.562988° N,150.035187° W,,T,1e25,-20.600000,SM,0.0070,0.0127,0.0127,1.151451,22,,,,,,8,19,2008,9,23,52,1e25,,
387328.598,7831471.965,70.562981° N,150.034821° W,,T,1e25,-20.600000,SM,0.0084,0.0211,0.0211,1.214835,25,,,,,,8,19,2008,9,24,17,1e25,,
387338.095,7831468.935,70.562958° N,150.034561° W,,T,1e25,-20.600000,SM,0.0062,0.0273,0.0273,1.110713,20,,,,,,8,19,2008,9,24,37,1e25,,
387347.196,7831469.332,70.562965° N,150.034317° W,,T,1e25,-20.600000,SM,0.0056,0.0329,0.0329,0.845787,24,,,,,,8,19,2008,9,25,1,1e25,,
387358.603,7831470.465,70.562981° N,150.034012° W,,T,1e25,-20.600000,SM,0.0071,0.0400,0.0400,1.161100,22,,,,,,8,19,2008,9,25,23,1e25,,
387370.788,7831475.820,70.563034° N,150.033691° W,,T,1e25,-20.600000,SM,0.0082,0.0483,0.0483,1.348300,22,,,,,,8,19,2008,9,25,45,1e25,,
387377.949,7831494.212,70.563202° N,150.033524° W,,T,1e25,-20.600000,SM,0.0122,0.0605,0.0605,1.571766,28,,,,,,8,19,2008,9,26,13,1e25,,
387374.808,7831499.480,70.563248° N,150.033615° W,,T,1e25,-20.600000,SM,0.0038,0.0643,0.0643,1.953436,7,,,,,,8,19,2008,9,26,20,1e25,,
387370.632,7831529.513,70.563515° N,150.033768° W,,T,1e25,-20.600000,SM,0.0188,0.0831,0.0831,2.817295,24,,,,,,8,19,2008,9,26,44,1e25,,
387368.580,7831533.875,70.563553° N,150.033829° W,,T,1e25,-20.600000,SM,0.0030,0.0860,0.0860,2.686739,4,,,,,,8,19,2008,9,26,48,1e25,,
387367.053,7831537.359,70.563583° N,150.033874° W,,T,1e25,-20.600000,SM,0.0024,0.0884,0.0884,2.827271,3,,,,,,8,19,2008,9,26,51,1e25,,
387346.207,7831563.103,70.563805° N,150.034470° W,,T,1e25,-20.600000,SM,0.0205,0.1089,0.1089,2.953905,25,,,,,,8,19,2008,9,27,16,1e25,,
387337.762,7831598.462,70.564117° N,150.034744° W,,T,1e25,-20.600000,SM,0.0225,0.1314,0.1314,3.002191,27,,,,,,8,19,2008,9,27,43,1e25,,
387331.366,7831629.457,70.564392° N,150.034958° W,,T,1e25,-20.600000,SM,0.0196,0.1510,0.1510,2.940541,24,,,,,,8,19,2008,9,28,7,1e25,,
387328.624,7831665.381,70.564712° N,150.035080° W,,T,1e25,-20.600000,SM,0.0223,0.1734,0.1734,2.975648,27,,,,,,8,19,2008,9,28,34,1e25,,
387324.308,7831703.940,70.565056° N,150.035248° W,,T,1e25,-20.600000,SM,0.0240,0.1974,0.1974,3.089995,28,,,,,,8,19,2008,9,29,2,1e25,,
387322.995,7831745.756,70.565430° N,150.035339° W,,T,1e25,-20.600000,SM,0.0259,0.2233,0.2233,3.217027,29,,,,,,8,19,2008,9,29,31,1e25,,
387322.602,7831783.266,70.565765° N,150.035400° W,,T,1e25,-20.600000,SM,0.0232,0.2465,0.2465,3.217388,26,,,,,,8,19,2008,9,29,57,1e25,,
387319.023,7831825.196,70.566139° N,150.035553° W,,T,1e25,-20.600000,SM,0.0261,0.2726,0.2726,3.127994,30,,,,,,8,19,2008,9,30,27,1e25,,
387315.008,7831869.701,70.566536° N,150.035721° W,,T,1e25,-20.600000,SM,0.0277,0.3003,0.3003,3.214512,31,,,,,,8,19,2008,9,30,58,1e25,,
387310.907,7831912.519,70.566917° N,150.035889° W,,T,1e25,-20.600000,SM,0.0266,0.3269,0.3269,3.094047,31,,,,,,8,19,2008,9,31,29,1e25,,
387306.850,7831956.165,70.567306° N,150.036056° W,,T,1e25,-20.600000,SM,0.0272,0.3541,0.3541,3.153251,31,,,,,,8,19,2008,9,32,0,1e25,,
387309.542,7831998.642,70.567688° N,150.036041° W,,T,1e25,-20.600000,SM,0.0264,0.3804,0.3804,3.272835,29,,,,,,8,19,2008,9,32,29,1e25,,
387315.854,7832034.113,70.568008° N,150.035919° W,,T,1e25,-20.600000,SM,0.0223,0.4028,0.4028,3.090088,26,,,,,,8,19,2008,9,32,55,1e25,,
387314.104,7832078.507,70.568405° N,150.036026° W,,T,1e25,-20.600000,SM,0.0275,0.4303,0.4303,3.302411,30,,,,,,8,19,2008,9,33,25,1e25,,
387304.655,7832116.470,70.568741° N,150.036331° W,,T,1e25,-20.600000,SM,0.0242,0.4545,0.4545,3.230921,27,,,,,,8,19,2008,9,33,52,1e25,,
