Time,File,Total,bearded seal,Unknown,fin whale,killer whale,Walrus,Boating,minke,
01-Aug-07 00:11:08,shell-00EA0504.a26..1185927068.2007-08-01-00-11-08.wav_chan0.xml,0,0,0,0,0,0,0,
01-Aug-07 00:45:00,shell-00EA0505.a26..1185929100.2007-08-01-00-45-00.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 01:18:53,shell-00EA0506.a26..1185931133.2007-08-01-01-18-53.wav_chan0.xml,1,1,0,0,0,0,0,0,
01-Aug-07 01:52:46,shell-00EA0507.a26..1185933166.2007-08-01-01-52-46.wav_chan0.xml,1,1,0,0,0,0,0,0,
01-Aug-07 02:26:40,shell-00EA0508.a26..1185935200.2007-08-01-02-26-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 03:00:34,shell-00EA0509.a26..1185937234.2007-08-01-03-00-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 03:34:28,shell-00EA0510.a26..1185939268.2007-08-01-03-34-28.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 04:08:21,shell-00EA0511.a26..1185941301.2007-08-01-04-08-21.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Aug-07 04:42:21,shell-00EA0512.a26..1185943341.2007-08-01-04-42-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 05:16:13,shell-00EA0513.a26..1185945373.2007-08-01-05-16-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 05:50:04,shell-00EA0514.a26..1185947404.2007-08-01-05-50-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 06:23:56,shell-00EA0515.a26..1185949436.2007-08-01-06-23-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 06:57:48,shell-00EA0516.a26..1185951468.2007-08-01-06-57-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 07:31:39,shell-00EA0517.a26..1185953499.2007-08-01-07-31-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 08:05:31,shell-00EA0518.a26..1185955531.2007-08-01-08-05-31.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 08:39:22,shell-00EA0519.a26..1185957562.2007-08-01-08-39-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 09:13:14,shell-00EA0520.a26..1185959594.2007-08-01-09-13-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 09:47:06,shell-00EA0521.a26..1185961626.2007-08-01-09-47-06.wav_chan0.xml,1,0,1,0,0,0,0,0,
01-Aug-07 10:20:59,shell-00EA0522.a26..1185963659.2007-08-01-10-20-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 10:54:53,shell-00EA0523.a26..1185965693.2007-08-01-10-54-53.wav_chan0.xml,1,0,1,0,0,0,0,0,
01-Aug-07 11:28:47,shell-00EA0524.a26..1185967727.2007-08-01-11-28-47.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 12:02:40,shell-00EA0525.a26..1185969760.2007-08-01-12-02-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 12:36:34,shell-00EA0526.a26..1185971794.2007-08-01-12-36-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 13:10:28,shell-00EA0527.a26..1185973828.2007-08-01-13-10-28.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 13:44:20,shell-00EA0528.a26..1185975860.2007-08-01-13-44-20.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 14:18:12,shell-00EA0529.a26..1185977892.2007-08-01-14-18-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 14:52:03,shell-00EA0530.a26..1185979923.2007-08-01-14-52-03.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 15:25:55,shell-00EA0531.a26..1185981955.2007-08-01-15-25-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 15:59:46,shell-00EA0532.a26..1185983986.2007-08-01-15-59-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 16:33:38,shell-00EA0533.a26..1185986018.2007-08-01-16-33-38.wav_chan0.xml,0,0,0,0,0,0,0,
01-Aug-07 17:07:30,shell-00EA0534.a26..1185988050.2007-08-01-17-07-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 17:41:21,shell-00EA0535.a26..1185990081.2007-08-01-17-41-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 18:15:13,shell-00EA0536.a26..1185992113.2007-08-01-18-15-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 18:49:05,shell-00EA0537.a26..1185994145.2007-08-01-18-49-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 19:22:58,shell-00EA0538.a26..1185996178.2007-08-01-19-22-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 19:56:51,shell-00EA0539.a26..1185998211.2007-08-01-19-56-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 20:30:45,shell-00EA0540.a26..1186000245.2007-08-01-20-30-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 21:04:39,shell-00EA0541.a26..1186002279.2007-08-01-21-04-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 21:38:32,shell-00EA0542.a26..1186004312.2007-08-01-21-38-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 22:12:26,shell-00EA0543.a26..1186006346.2007-08-01-22-12-26.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Aug-07 22:46:20,shell-00EA0544.a26..1186008380.2007-08-01-22-46-20.wav_chan0.xml,1,0,1,0,0,
01-Aug-07 23:20:12,shell-00EA0545.a26..1186010412.2007-08-01-23-20-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Aug-07 23:54:03,shell-00EA0546.a26..1186012443.2007-08-01-23-54-03.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 00:27:55,shell-00EA0547.a26..1186014475.2007-08-02-00-27-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 01:01:46,shell-00EA0548.a26..1186016506.2007-08-02-01-01-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 01:35:38,shell-00EA0549.a26..1186018538.2007-08-02-01-35-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 02:09:29,shell-00EA0550.a26..1186020569.2007-08-02-02-09-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 02:43:21,shell-00EA0551.a26..1186022601.2007-08-02-02-43-21.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Aug-07 03:17:13,shell-00EA0552.a26..1186024633.2007-08-02-03-17-13.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Aug-07 03:51:05,shell-00EA0553.a26..1186026665.2007-08-02-03-51-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 04:24:58,shell-00EA0554.a26..1186028698.2007-08-02-04-24-58.wav_chan0.xml,1,0,0,1,0,0,0,
02-Aug-07 04:58:51,shell-00EA0555.a26..1186030731.2007-08-02-04-58-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 05:32:45,shell-00EA0556.a26..1186032765.2007-08-02-05-32-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 06:06:39,shell-00EA0557.a26..1186034799.2007-08-02-06-06-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 06:40:32,shell-00EA0558.a26..1186036832.2007-08-02-06-40-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 07:14:26,shell-00EA0559.a26..1186038866.2007-08-02-07-14-26.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 07:48:17,shell-00EA0560.a26..1186040897.2007-08-02-07-48-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 08:22:09,shell-00EA0561.a26..1186042929.2007-08-02-08-22-09.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 08:56:01,shell-00EA0562.a26..1186044961.2007-08-02-08-56-01.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Aug-07 09:29:52,shell-00EA0563.a26..1186046992.2007-08-02-09-29-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 10:03:44,shell-00EA0564.a26..1186049024.2007-08-02-10-03-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 10:37:35,shell-00EA0565.a26..1186051055.2007-08-02-10-37-35.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 11:11:27,shell-00EA0566.a26..1186053087.2007-08-02-11-11-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 11:45:19,shell-00EA0567.a26..1186055119.2007-08-02-11-45-19.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 12:19:10,shell-00EA0568.a26..1186057150.2007-08-02-12-19-10.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 12:53:02,shell-00EA0569.a26..1186059182.2007-08-02-12-53-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 13:26:55,shell-00EA0570.a26..1186061215.2007-08-02-13-26-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 14:00:49,shell-00EA0571.a26..1186063249.2007-08-02-14-00-49.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 14:34:42,shell-00EA0572.a26..1186065282.2007-08-02-14-34-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 15:08:35,shell-00EA0573.a26..1186067315.2007-08-02-15-08-35.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 15:42:28,shell-00EA0574.a26..1186069348.2007-08-02-15-42-28.wav_chan0.xml,1,1,0,0,0,0,0,0,
02-Aug-07 16:16:22,shell-00EA0575.a26..1186071382.2007-08-02-16-16-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 16:50:16,shell-00EA0576.a26..1186073416.2007-08-02-16-50-16.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Aug-07 17:24:08,shell-00EA0577.a26..1186075448.2007-08-02-17-24-08.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 17:58:00,shell-00EA0578.a26..1186077480.2007-08-02-17-58-00.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 18:31:51,shell-00EA0579.a26..1186079511.2007-08-02-18-31-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 19:05:43,shell-00EA0580.a26..1186081543.2007-08-02-19-05-43.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 19:39:34,shell-00EA0581.a26..1186083574.2007-08-02-19-39-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 20:13:26,shell-00EA0582.a26..1186085606.2007-08-02-20-13-26.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 20:47:17,shell-00EA0583.a26..1186087637.2007-08-02-20-47-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 21:21:09,shell-00EA0584.a26..1186089669.2007-08-02-21-21-09.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 21:55:01,shell-00EA0585.a26..1186091701.2007-08-02-21-55-01.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 22:28:54,shell-00EA0586.a26..1186093734.2007-08-02-22-28-54.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Aug-07 23:02:48,shell-00EA0587.a26..1186095768.2007-08-02-23-02-48.wav_chan0.xml,0,0,0,0,0,0,0,
02-Aug-07 23:36:42,shell-00EA0588.a26..1186097802.2007-08-02-23-36-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 00:10:36,shell-00EA0589.a26..1186099836.2007-08-03-00-10-36.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 00:44:27,shell-00EA0590.a26..1186101867.2007-08-03-00-44-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 01:18:21,shell-00EA0591.a26..1186103901.2007-08-03-01-18-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 01:52:12,shell-00EA0592.a26..1186105932.2007-08-03-01-52-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
