Time,File,Total,Unknown,bowhead,bearded seal,beluga,Boating,minke,Walrus,
01-Oct-07 00:31:55,shell-00EA0781.a26..1191198715.2007-10-01-00-31-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 01:05:49,shell-00EA0782.a26..1191200749.2007-10-01-01-05-49.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 01:39:43,shell-00EA0783.a26..1191202783.2007-10-01-01-39-43.wav_chan0.xml,0,0,0,0,0,
01-Oct-07 02:13:34,shell-00EA0784.a26..1191204814.2007-10-01-02-13-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 02:47:26,shell-00EA0785.a26..1191206846.2007-10-01-02-47-26.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 03:21:17,shell-00EA0786.a26..1191208877.2007-10-01-03-21-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 03:55:08,shell-00EA0787.a26..1191210908.2007-10-01-03-55-08.wav_chan0.xml,2,0,0,2,0,0,0,0,
01-Oct-07 04:29:00,shell-00EA0788.a26..1191212940.2007-10-01-04-29-00.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 05:02:51,shell-00EA0789.a26..1191214971.2007-10-01-05-02-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 05:36:43,shell-00EA0790.a26..1191217003.2007-10-01-05-36-43.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 06:10:34,shell-00EA0791.a26..1191219034.2007-10-01-06-10-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 06:44:26,shell-00EA0792.a26..1191221066.2007-10-01-06-44-26.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 07:18:18,shell-00EA0793.a26..1191223098.2007-10-01-07-18-18.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 07:52:11,shell-00EA0794.a26..1191225131.2007-10-01-07-52-11.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 08:26:03,shell-00EA0795.a26..1191227163.2007-10-01-08-26-03.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 08:59:57,shell-00EA0796.a26..1191229197.2007-10-01-08-59-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 09:33:51,shell-00EA0797.a26..1191231231.2007-10-01-09-33-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 10:07:45,shell-00EA0798.a26..1191233265.2007-10-01-10-07-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 10:41:38,shell-00EA0799.a26..1191235298.2007-10-01-10-41-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 11:15:32,shell-00EA0800.a26..1191237332.2007-10-01-11-15-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 11:49:24,shell-00EA0801.a26..1191239364.2007-10-01-11-49-24.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 12:23:15,shell-00EA0802.a26..1191241395.2007-10-01-12-23-15.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 12:57:06,shell-00EA0803.a26..1191243426.2007-10-01-12-57-06.wav_chan0.xml,0,0,0,0,0,
01-Oct-07 13:30:58,shell-00EA0804.a26..1191245458.2007-10-01-13-30-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 14:04:49,shell-00EA0805.a26..1191247489.2007-10-01-14-04-49.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 14:38:41,shell-00EA0806.a26..1191249521.2007-10-01-14-38-41.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 15:12:32,shell-00EA0807.a26..1191251552.2007-10-01-15-12-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 15:46:24,shell-00EA0808.a26..1191253584.2007-10-01-15-46-24.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 16:20:16,shell-00EA0809.a26..1191255616.2007-10-01-16-20-16.wav_chan0.xml,0,0,0,0,0,
01-Oct-07 16:54:09,shell-00EA0810.a26..1191257649.2007-10-01-16-54-09.wav_chan0.xml,0,0,0,0,
01-Oct-07 17:28:02,shell-00EA0811.a26..1191259682.2007-10-01-17-28-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 18:01:56,shell-00EA0812.a26..1191261716.2007-10-01-18-01-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 18:35:50,shell-00EA0813.a26..1191263750.2007-10-01-18-35-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 19:09:44,shell-00EA0814.a26..1191265784.2007-10-01-19-09-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 19:43:38,shell-00EA0815.a26..1191267818.2007-10-01-19-43-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 20:17:29,shell-00EA0816.a26..1191269849.2007-10-01-20-17-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 20:51:20,shell-00EA0817.a26..1191271880.2007-10-01-20-51-20.wav_chan0.xml,0,0,0,0,
01-Oct-07 21:25:11,shell-00EA0818.a26..1191273911.2007-10-01-21-25-11.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 21:59:03,shell-00EA0819.a26..1191275943.2007-10-01-21-59-03.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 22:32:54,shell-00EA0820.a26..1191277974.2007-10-01-22-32-54.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 23:06:46,shell-00EA0821.a26..1191280006.2007-10-01-23-06-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 23:40:38,shell-00EA0822.a26..1191282038.2007-10-01-23-40-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 00:14:29,shell-00EA0823.a26..1191284069.2007-10-02-00-14-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 00:48:20,shell-00EA0824.a26..1191286100.2007-10-02-00-48-20.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 01:22:12,shell-00EA0825.a26..1191288132.2007-10-02-01-22-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 01:56:05,shell-00EA0826.a26..1191290165.2007-10-02-01-56-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 02:29:58,shell-00EA0827.a26..1191292198.2007-10-02-02-29-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 03:03:52,shell-00EA0828.a26..1191294232.2007-10-02-03-03-52.wav_chan0.xml,1,0,0,1,0,0,0,0,
02-Oct-07 03:37:46,shell-00EA0829.a26..1191296266.2007-10-02-03-37-46.wav_chan0.xml,12,0,3,9,0,0,0,0,
02-Oct-07 04:11:40,shell-00EA0830.a26..1191298300.2007-10-02-04-11-40.wav_chan0.xml,9,1,0,7,1,0,0,0,
02-Oct-07 04:45:34,shell-00EA0831.a26..1191300334.2007-10-02-04-45-34.wav_chan0.xml,9,2,0,6,1,0,0,0,
02-Oct-07 05:19:28,shell-00EA0832.a26..1191302368.2007-10-02-05-19-28.wav_chan0.xml,5,1,0,4,0,
02-Oct-07 05:53:19,shell-00EA0833.a26..1191304399.2007-10-02-05-53-19.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 06:27:11,shell-00EA0834.a26..1191306431.2007-10-02-06-27-11.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 07:01:02,shell-00EA0835.a26..1191308462.2007-10-02-07-01-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 07:34:54,shell-00EA0836.a26..1191310494.2007-10-02-07-34-54.wav_chan0.xml,2,2,0,0,0,0,0,0,
02-Oct-07 08:08:45,shell-00EA0837.a26..1191312525.2007-10-02-08-08-45.wav_chan0.xml,3,3,0,0,0,0,0,0,
02-Oct-07 08:42:37,shell-00EA0838.a26..1191314557.2007-10-02-08-42-37.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 09:16:28,shell-00EA0839.a26..1191316588.2007-10-02-09-16-28.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 09:50:20,shell-00EA0840.a26..1191318620.2007-10-02-09-50-20.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 10:24:12,shell-00EA0841.a26..1191320652.2007-10-02-10-24-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 10:58:05,shell-00EA0842.a26..1191322685.2007-10-02-10-58-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
02-Oct-07 11:31:58,shell-00EA0843.a26..1191324718.2007-10-02-11-31-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
