Time,file,SequenceRepRate,numberOfPulses,AvgSPL,AvgSEL
28-Aug-07 20:28:19,shell-2A1B1721.a20..1188332206.2007-08-28-20-16-46.wav_chan0.xml,9.510520935058594,24,264.24225489298504,268.6943482019859
28-Aug-07 20:38:36,shell-2A1B1721.a20..1188332206.2007-08-28-20-16-46.wav_chan0.xml,11.302718162536621,26,266.7610250619742,271.5011472180892
28-Aug-07 20:43:29,shell-2A1B1721.a20..1188332206.2007-08-28-20-16-46.wav_chan0.xml,11.314459800720215,11,268.89689220081675,273.94637241639214
09-Sep-07 19:40:55,shell-2A1B2232.a20..1189366524.2007-09-09-19-35-24.wav_chan0.xml,11.223064422607422,26,275.38055419921875,279.42556945387855
09-Sep-07 19:46:10,shell-2A1B2232.a20..1189366524.2007-09-09-19-35-24.wav_chan0.xml,11.234129905700684,22,276.07773520729756,280.2547862368385
03-Sep-07 11:34:19,shell-2A1B1961.a20..1188817943.2007-09-03-11-12-23.wav_chan0.xml,7.037830829620361,9,266.0024108886719,270.9317702815817
07-Sep-07 16:07:31,shell-2A1B2140.a20..1189180287.2007-09-07-15-51-27.wav_chan0.xml,12.271709442138672,10,274.02886352539065,277.9526176549417
30-Aug-07 02:10:04,shell-2A1B1774.a20..1188439479.2007-08-30-02-04-39.wav_chan0.xml,9.98371696472168,31,269.05887037707913,273.4116181039114
30-Aug-07 02:15:24,shell-2A1B1774.a20..1188439479.2007-08-30-02-04-39.wav_chan0.xml,10.011808395385742,31,268.9880134828629,273.3016674653946
30-Aug-07 02:20:55,shell-2A1B1774.a20..1188439479.2007-08-30-02-04-39.wav_chan0.xml,10.03835391998291,23,273.57949431046194,277.972417599496
30-Aug-07 02:31:25,shell-2A1B1774.a20..1188439479.2007-08-30-02-04-39.wav_chan0.xml,10.008152961730957,26,268.9727384127103,273.5920752745539
28-Aug-07 21:24:18,shell-2A1B1723.a20..1188336257.2007-08-28-21-24-17.wav_chan0.xml,10.283906936645508,9,264.3820393880208,268.9303739113882
07-Sep-07 12:34:18,shell-2A1B2134.a20..1189168138.2007-09-07-12-28-58.wav_chan0.xml,9.363550186157227,30,278.6615956624349,282.8172667834206
07-Sep-07 12:51:17,shell-2A1B2134.a20..1189168138.2007-09-07-12-28-58.wav_chan0.xml,10.575254440307617,22,274.1251012628729,278.4478609936464
31-Aug-07 09:21:45,shell-2A1B1829.a20..1188550789.2007-08-31-08-59-49.wav_chan0.xml,9.78312873840332,26,266.74054541954627,270.9233485536078
