Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
N,18-AUG-08|Green|0,70.50956726,-149.86918635,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0000,0.0000,0.0000,"INF","-"
T,,70.50933835,-149.86958306,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0183,0.0183,0.0183,"INF",0
T,,70.50929259,-149.86976621,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0053,0.0235,0.0235,"INF",0
T,,70.50929259,-149.87052913,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0176,0.0411,0.0411,"INF",0
T,,70.50928496,-149.87245177,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0443,0.0855,0.0855,"INF",0
T,,70.50921623,-149.87449645,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0474,0.1328,0.1328,"INF",0
T,,70.50904842,-149.87643426,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0462,0.1790,0.1790,"INF",0
T,,70.50891875,-149.87844843,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0473,0.2263,0.2263,"INF",0
T,,70.50875849,-149.87985224,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0342,0.2605,0.2605,"INF",0
T,,70.50870510,-149.87927246,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0139,0.2743,0.2743,"INF",0
T,,70.50872035,-149.87928771,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0011,0.2755,0.2755,"INF",0
T,,70.50875849,-149.87940975,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0039,0.2793,0.2793,"INF",0
T,,70.50904079,-149.87965392,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0203,0.2996,0.2996,"INF",0
T,,70.50869747,-149.87950129,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0240,0.3236,0.3236,"INF",0
T,,70.50809473,-149.88182064,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0678,0.3914,0.3914,"INF",0
T,,70.50788878,-149.88465875,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0670,0.4583,0.4583,"INF",0
T,,70.50801083,-149.88778680,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0726,0.5309,0.5309,"INF",0
T,,70.50787353,-149.89067076,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0672,0.5981,0.5981,"INF",0
T,,70.50721739,-149.88999937,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0479,0.6460,0.6460,"INF",0
T,,70.50686644,-149.88766476,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0590,0.7050,0.7050,"INF",0
T,,70.50691221,-149.88529963,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0546,0.7597,0.7597,"INF",0
T,,70.50698086,-149.88206481,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0747,0.8344,0.8344,"INF",0
T,,70.50705713,-149.87942501,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0611,0.8955,0.8955,"INF",0
T,,70.50731655,-149.87719718,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0544,0.9499,0.9499,"INF",0
T,,70.50769038,-149.87484740,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0600,1.0099,1.0099,"INF",0
T,,70.50806422,-149.87287899,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0522,1.0621,1.0621,"INF",0
T,,70.50839229,-149.87164300,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0364,1.0985,1.0985,"INF",0
T,,70.50865171,-149.87101737,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0230,1.1215,1.1215,"INF",0
T,,70.50889587,-149.87034607,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0229,1.1444,1.1444,"INF",0
T,,70.50913995,-149.86978146,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0213,1.1657,1.1657,"INF",0
T,,70.50934598,-149.86947628,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0159,1.1816,1.1816,"INF",0
T,,70.50952904,-149.86917109,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0145,1.1961,1.1961,"INF",0
T,,70.50959014,-149.86915584,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0042,1.2003,1.2003,"INF",0
T,,70.50962065,-149.86912533,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0022,1.2026,1.2026,"INF",0
T,,70.50959777,-149.86918635,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0021,1.2047,1.2047,"INF",0
T,,70.50959014,-149.86912533,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0015,1.2062,1.2062,"INF",0
T,,70.50957489,-149.86921686,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0024,1.2085,1.2085,"INF",0
T,,70.50955955,-149.86915584,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0018,1.2103,1.2103,"INF",0
T,,70.50947565,-149.86924737,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0062,1.2165,1.2165,"INF",0
T,,70.50937649,-149.86929313,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0069,1.2234,1.2234,"INF",0
T,,70.50946039,-149.86955255,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0083,1.2317,1.2317,"INF",0
T,,70.50961303,-149.87161249,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0486,1.2804,1.2804,"INF",0
T,,70.50953667,-149.87374870,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0495,1.3299,1.3299,"INF",0
T,,70.50947565,-149.87435907,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0147,1.3446,1.3446,"INF",0
T,,70.50922394,-149.87570185,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0355,1.3801,1.3801,"INF",0
T,,70.50899503,-149.87731931,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0405,1.4206,1.4206,"INF",0
T,,70.50904842,-149.87892151,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0371,1.4577,1.4577,"INF",0
T,,70.50949090,-149.87959282,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0343,1.4920,1.4920,"INF",0
T,,70.50989524,-149.88073728,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0384,1.5304,1.5304,"INF",0
T,,70.51027679,-149.88194268,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0383,1.5687,1.5687,"INF",0
T,,70.51062774,-149.88314817,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0369,1.6056,1.6056,"INF",0
T,,70.51071164,-149.88424678,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0260,1.6316,1.6316,"INF",0
T,,70.51075741,-149.88583373,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0367,1.6683,1.6683,"INF",0
T,,70.51067350,-149.88792418,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0485,1.7168,1.7168,"INF",0
T,,70.51066588,-149.88966367,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0401,1.7569,1.7569,"INF",0
T,,70.51076503,-149.89097594,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0310,1.7879,1.7879,"INF",0
T,,70.51099394,-149.89184565,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0255,1.8135,1.8135,"INF",0
T,,70.51128387,-149.89270018,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0281,1.8416,1.8416,"INF",0
T,,70.51129913,-149.89276120,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0018,1.8433,1.8433,"INF",0
T,,70.51133718,-149.89292901,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0047,1.8480,1.8480,"INF",0
T,,70.51144405,-149.89407348,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0274,1.8754,1.8754,"INF",0
T,,70.51156609,-149.89572136,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0389,1.9143,1.9143,"INF",0
T,,70.51164245,-149.89750670,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0415,1.9558,1.9558,"INF",0
T,,70.51177212,-149.89843743,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0232,1.9790,1.9790,"INF",0
T,,70.51198578,-149.89952087,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0290,2.0081,2.0081,"INF",0
T,,70.51207731,-149.90118401,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0389,2.0469,2.0469,"INF",0
T,,70.51218409,-149.90275570,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0370,2.0839,2.0839,"INF",0
T,,70.51224511,-149.90443418,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0389,2.1228,2.1228,"INF",0
T,,70.51228325,-149.90670769,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0525,2.1753,2.1753,"INF",0
T,,70.51236724,-149.90852354,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0423,2.2175,2.2175,"INF",0
T,,70.51243588,-149.91053771,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0467,2.2642,2.2642,"INF",0
T,,70.51255792,-149.91206355,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0362,2.3004,2.3004,"INF",0
T,,70.51261894,-149.91398619,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0445,2.3449,2.3449,"INF",0
T,,70.51271819,-149.91535949,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0324,2.3773,2.3773,"INF",0
T,,70.51263420,-149.91705322,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0395,2.4167,2.4167,"INF",0
T,,70.51257318,-149.91893001,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0435,2.4602,2.4602,"INF",0
T,,70.51248165,-149.92060849,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0392,2.4994,2.4994,"INF",0
T,,70.51238249,-149.92201229,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0331,2.5325,2.5325,"INF",0
T,,70.51230613,-149.92367551,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0387,2.5712,2.5712,"INF",0
T,,70.51231384,-149.92530822,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0376,2.6088,2.6088,"INF",0
T,,70.51235961,-149.92692559,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0374,2.6462,2.6462,"INF",0
T,,70.51237486,-149.92839050,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0338,2.6800,2.6800,"INF",0
T,,70.51249690,-149.92984006,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0345,2.7145,2.7145,"INF",0
T,,70.51251979,-149.93170160,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0429,2.7574,2.7574,"INF",0
T,,70.51240537,-149.93316650,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0347,2.7921,2.7921,"INF",0
T,,70.51238249,-149.93457031,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0324,2.8245,2.8245,"INF",0
T,,70.51253504,-149.93632506,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0418,2.8663,2.8663,"INF",0
T,,70.51251979,-149.93815608,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0422,2.9085,2.9085,"INF",0
T,,70.51245877,-149.93986507,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0396,2.9481,2.9481,"INF",0
T,,70.51241300,-149.94160457,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0402,2.9883,2.9883,"INF",0
T,,70.51232910,-149.94300837,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0329,3.0212,3.0212,"INF",0
T,,70.51225274,-149.94461057,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0373,3.0585,3.0585,"INF",0
T,,70.51218409,-149.94593809,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0310,3.0895,3.0895,"INF",0
T,,70.51218409,-149.94770802,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0408,3.1303,3.1303,"INF",0
T,,70.51225274,-149.94915767,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0337,3.1640,3.1640,"INF",0
T,,70.51231384,-149.95086665,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0396,3.2036,3.2036,"INF",0
T,,70.51232147,-149.95230096,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0331,3.2367,3.2367,"INF",0
T,,70.51230613,-149.95274353,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0103,3.2470,3.2470,"INF",0
T,,70.51222223,-149.95442192,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0391,3.2861,3.2861,"INF",0
T,,70.51207731,-149.95629880,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0444,3.3305,3.3305,"INF",0
T,,70.51195518,-149.95800778,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0403,3.3708,3.3708,"INF",0
T,,70.51186365,-149.95941158,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0330,3.4037,3.4037,"INF",0
T,,70.51185602,-149.95947260,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0015,3.4052,3.4052,"INF",0
T,,70.51177212,-149.96084590,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0322,3.4374,3.4374,"INF",0
T,,70.51168059,-149.96228021,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0337,3.4711,3.4711,"INF",0
T,,70.51161949,-149.96366875,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0323,3.5034,3.5034,"INF",0
T,,70.51159660,-149.96528621,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0373,3.5407,3.5407,"INF",0
T,,70.51155847,-149.96691892,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0377,3.5784,3.5784,"INF",0
T,,70.51156609,-149.96852104,12,31,1989,8,0,0,1e25,1e25,-20.600000,"SM",0.0369,3.6153,3.6153,"INF",0
