Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
N,ACTIVE LOG|Black|1,70.56297298,-150.03573602,8,19,2008,9,23,9,1e25,1e25,-20.600000,"SM",0.0000,0.0000,0.0000,"INF","-"
T,,70.56298060,-150.03549194,8,19,2008,9,23,30,1e25,1e25,-20.600000,"SM",0.0056,0.0056,0.0056,0.966284,21,
T,,70.56298823,-150.03518675,8,19,2008,9,23,52,1e25,1e25,-20.600000,"SM",0.0070,0.0127,0.0127,1.151451,22,
T,,70.56298060,-150.03482055,8,19,2008,9,24,17,1e25,1e25,-20.600000,"SM",0.0084,0.0211,0.0211,1.214835,25,
T,,70.56295772,-150.03456113,8,19,2008,9,24,37,1e25,1e25,-20.600000,"SM",0.0062,0.0273,0.0273,1.110713,20,
T,,70.56296535,-150.03431696,8,19,2008,9,25,1,1e25,1e25,-20.600000,"SM",0.0056,0.0329,0.0329,0.845787,24,
T,,70.56298060,-150.03401178,8,19,2008,9,25,23,1e25,1e25,-20.600000,"SM",0.0071,0.0400,0.0400,1.161100,22,
T,,70.56303400,-150.03369134,8,19,2008,9,25,45,1e25,1e25,-20.600000,"SM",0.0082,0.0483,0.0483,1.348300,22,
T,,70.56320189,-150.03352353,8,19,2008,9,26,13,1e25,1e25,-20.600000,"SM",0.0122,0.0605,0.0605,1.571766,28,
T,,70.56324765,-150.03361506,8,19,2008,9,26,20,1e25,1e25,-20.600000,"SM",0.0038,0.0643,0.0643,1.953436,7,
T,,70.56351470,-150.03376770,8,19,2008,9,26,44,1e25,1e25,-20.600000,"SM",0.0188,0.0831,0.0831,2.817295,24,
T,,70.56355284,-150.03382872,8,19,2008,9,26,48,1e25,1e25,-20.600000,"SM",0.0030,0.0860,0.0860,2.686739,4,
T,,70.56358335,-150.03387448,8,19,2008,9,26,51,1e25,1e25,-20.600000,"SM",0.0024,0.0884,0.0884,2.827271,3,
T,,70.56380454,-150.03446960,8,19,2008,9,27,16,1e25,1e25,-20.600000,"SM",0.0205,0.1089,0.1089,2.953905,25,
T,,70.56411736,-150.03474419,8,19,2008,9,27,43,1e25,1e25,-20.600000,"SM",0.0225,0.1314,0.1314,3.002191,27,
T,,70.56439203,-150.03495784,8,19,2008,9,28,7,1e25,1e25,-20.600000,"SM",0.0196,0.1510,0.1510,2.940541,24,
T,,70.56471247,-150.03507989,8,19,2008,9,28,34,1e25,1e25,-20.600000,"SM",0.0223,0.1734,0.1734,2.975648,27,
