X,Y,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
862327.252,7856338.797,,7,SM,0,0,0,INF,-,21,2008,18,58,34,-2.746704,1.00E+25,1.00E+25
862277.148,7856351.208,,7,SM,0.0319,0.0319,0.0319,8.83608,13,21,2008,18,58,47,-1.304688,1.00E+25,1.00E+25
862248.904,7856358.310,,7,SM,0.018,0.0499,0.0499,6.481322,10,21,2008,18,58,57,-2.265991,1.00E+25,1.00E+25
862220.676,7856361.830,,7,SM,0.0176,0.0675,0.0675,6.330285,10,21,2008,18,59,7,-1.785278,1.00E+25,1.00E+25
862206.680,7856343.900,,7,SM,0.0141,0.0816,0.0816,5.062559,10,21,2008,18,59,17,-0.824097,1.00E+25,1.00E+25
862217.294,7856327.329,,7,SM,0.0122,0.0937,0.0937,4.381313,10,21,2008,18,59,27,1.579346,1.00E+25,1.00E+25
862235.302,7856322.901,,7,SM,0.0115,0.1052,0.1052,4.126312,10,21,2008,18,59,37,1.579346,1.00E+25,1.00E+25
862260.809,7856327.238,,7,SM,0.016,0.1212,0.1212,5.756843,10,21,2008,18,59,47,1.098633,1.00E+25,1.00E+25
862287.655,7856322.173,,7,SM,0.0169,0.1381,0.1381,6.079559,10,21,2008,18,59,57,0.618042,1.00E+25,1.00E+25
862308.066,7856307.195,,7,SM,0.0157,0.1537,0.1537,5.635525,10,21,2008,19,0,7,1.098633,1.00E+25,1.00E+25
862318.795,7856280.647,,7,SM,0.0177,0.1714,0.1714,6.375843,10,21,2008,19,0,17,1.098633,1.00E+25,1.00E+25
862338.156,7856262.105,,7,SM,0.0166,0.188,0.188,5.96761,10,21,2008,19,0,27,1.098633,1.00E+25,1.00E+25
862366.562,7856257.105,,7,SM,0.0178,0.2058,0.2058,6.418818,10,21,2008,19,0,37,0.618042,1.00E+25,1.00E+25
862396.417,7856253.662,,7,SM,0.0186,0.2244,0.2244,6.686987,10,21,2008,19,0,47,1.098633,1.00E+25,1.00E+25
862424.357,7856245.758,,7,SM,0.0179,0.2424,0.2424,6.46148,10,21,2008,19,0,57,2.060059,1.00E+25,1.00E+25
862451.039,7856229.728,,7,SM,0.0192,0.2616,0.2616,6.298657,11,21,2008,19,1,8,1.098633,1.00E+25,1.00E+25
862473.164,7856221.633,,7,SM,0.0146,0.2762,0.2762,5.24297,10,21,2008,19,1,18,0.618042,1.00E+25,1.00E+25
862494.281,7856222.427,,7,SM,0.0131,0.2892,0.2892,4.702339,10,21,2008,19,1,28,0.618042,1.00E+25,1.00E+25
862520.874,7856222.416,,7,SM,0.0164,0.3057,0.3057,5.91722,10,21,2008,19,1,38,-0.824097,1.00E+25,1.00E+25
862554.360,7856216.737,,7,SM,0.021,0.3267,0.3267,7.558179,10,21,2008,19,1,48,0.618042,1.00E+25,1.00E+25
862581.795,7856212.336,,7,SM,0.0172,0.3438,0.3438,6.1826,10,21,2008,19,1,58,-0.824097,1.00E+25,1.00E+25
862598.320,7856164.475,,7,SM,0.0313,0.3752,0.3752,11.274733,10,21,2008,19,2,8,-2.265991,1.00E+25,1.00E+25
862627.460,7856166.199,,7,SM,0.018,0.3932,0.3932,6.495324,10,21,2008,19,2,18,-3.227295,1.00E+25,1.00E+25
862655.853,7856164.407,,7,SM,0.0176,0.4108,0.4108,6.330361,10,21,2008,19,2,28,-3.227295,1.00E+25,1.00E+25
862684.249,7856163.748,,7,SM,0.0176,0.4283,0.4283,6.320387,10,21,2008,19,2,38,-4.188599,1.00E+25,1.00E+25
862712.181,7856160.939,,7,SM,0.0174,0.4457,0.4457,6.246287,10,21,2008,19,2,48,-3.707886,1.00E+25,1.00E+25
862739.185,7856156.469,,7,SM,0.0169,0.4626,0.4626,6.091153,10,21,2008,19,2,58,-3.227295,1.00E+25,1.00E+25
862765.784,7856157.216,,7,SM,0.0164,0.4791,0.4791,5.920405,10,21,2008,19,3,8,-0.824097,1.00E+25,1.00E+25
862793.517,7856159.845,,7,SM,0.0172,0.4963,0.4963,6.19921,10,21,2008,19,3,18,2.060059,1.00E+25,1.00E+25
