Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
N,ACTIVE LOG|Default Color|1,70.54879667,-149.21396167,7,21,2008,18,58,34,-2.746704,1e25,1e25,"SM",0.0000,0.0000,0.0000,"INF","-"
T,,70.54897833,-149.21523667,7,21,2008,18,58,47,-1.304688,1e25,1e25,"SM",0.0319,0.0319,0.0319,8.836080,13,
T,,70.54908167,-149.21595500,7,21,2008,18,58,57,-2.265991,1e25,1e25,"SM",0.0180,0.0499,0.0499,6.481322,10,
T,,70.54915333,-149.21668833,7,21,2008,18,59,7,-1.785278,1e25,1e25,"SM",0.0176,0.0675,0.0675,6.330285,10,
T,,70.54901500,-149.21713667,7,21,2008,18,59,17,-0.824097,1e25,1e25,"SM",0.0141,0.0816,0.0816,5.062559,10,
T,,70.54885333,-149.21692667,7,21,2008,18,59,27,1.579346,1e25,1e25,"SM",0.0122,0.0937,0.0937,4.381313,10,
T,,70.54878833,-149.21646833,7,21,2008,18,59,37,1.579346,1e25,1e25,"SM",0.0115,0.1052,0.1052,4.126312,10,
T,,70.54879000,-149.21577333,7,21,2008,18,59,47,1.098633,1e25,1e25,"SM",0.0160,0.1212,0.1212,5.756843,10,
T,,70.54870667,-149.21508333,7,21,2008,18,59,57,0.618042,1e25,1e25,"SM",0.0169,0.1381,0.1381,6.079559,10,
T,,70.54854500,-149.21460667,7,21,2008,19,0,7,1.098633,1e25,1e25,"SM",0.0157,0.1537,0.1537,5.635525,10,
T,,70.54829500,-149.21443667,7,21,2008,19,0,17,1.098633,1e25,1e25,"SM",0.0177,0.1714,0.1714,6.375843,10,
