Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
N,ACTIVE LOG|Default Color|1,70.56811268,-150.03971977,8,19,2008,9,12,36,87.183755,1e25,1e25,"SM",0.0000,0.0000,0.0000,"INF","-"
T,,70.56807127,-150.03975129,8,19,2008,9,12,51,60.375144,1e25,1e25,"SM",0.0030,0.0030,0.0030,0.708292,15,
T,,70.56803078,-150.03973452,8,19,2008,9,13,4,60.375144,1e25,1e25,"SM",0.0028,0.0058,0.0058,0.781929,13,
T,,70.56794604,-150.03972379,8,19,2008,9,13,27,47.759209,1e25,1e25,"SM",0.0059,0.0116,0.0116,0.917254,23,
T,,70.56786222,-150.03968046,8,19,2008,9,13,54,44.605726,1e25,1e25,"SM",0.0059,0.0175,0.0175,0.783517,27,
T,,70.56779718,-150.03971860,8,19,2008,9,14,7,41.451442,1e25,1e25,"SM",0.0046,0.0221,0.0221,1.267971,13,
T,,70.56756970,-150.03978230,8,19,2008,9,14,29,33.566933,1e25,1e25,"SM",0.0158,0.0379,0.0379,2.583124,22,
T,,70.56737247,-150.03967711,8,19,2008,9,14,46,31.990191,1e25,1e25,"SM",0.0138,0.0517,0.0517,2.930802,17,
T,,70.56710307,-150.03951433,8,19,2008,9,15,12,35.143675,1e25,1e25,"SM",0.0190,0.0707,0.0707,2.628795,26,
T,,70.56678808,-150.03952850,8,19,2008,9,15,40,31.990191,1e25,1e25,"SM",0.0218,0.0925,0.0925,2.798522,28,
T,,70.56659119,-150.03941048,8,19,2008,9,16,0,27.259166,1e25,1e25,"SM",0.0139,0.1063,0.1063,2.496913,20,
T,,70.56634007,-150.03913237,8,19,2008,9,16,25,13.066490,1e25,1e25,"SM",0.0185,0.1248,0.1248,2.662740,25,
T,,70.56610940,-150.03895509,8,19,2008,9,16,48,19.374257,1e25,1e25,"SM",0.0165,0.1413,0.1413,2.574869,23,
T,,70.56589952,-150.03864303,8,19,2008,9,17,11,19.374257,1e25,1e25,"SM",0.0162,0.1575,0.1575,2.532355,23,
T,,70.56565854,-150.03833894,8,19,2008,9,17,35,20.950998,1e25,1e25,"SM",0.0181,0.1755,0.1755,2.708727,24,
T,,70.56542108,-150.03805647,8,19,2008,9,17,55,17.797115,1e25,1e25,"SM",0.0176,0.1932,0.1932,3.176143,20,
T,,70.56518982,-150.03824590,8,19,2008,9,18,17,13.066490,1e25,1e25,"SM",0.0166,0.2097,0.2097,2.710006,22,
T,,70.56504959,-150.03838177,8,19,2008,9,18,30,17.797115,1e25,1e25,"SM",0.0102,0.2199,0.2199,2.819073,13,
