X,Y,LATITUDE,LONGITUDE,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_16,ATTR_17,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
379645.416,7832799.833,70° 34' 16.72" N,150° 14' 35.78" W,T,1.00E+25,1.00E+25,SM,0.038,5.414,102.6383,11.402625,12,7,24,2008,13,28,46,-27.935198
379658.300,7832871.565,70° 34' 19.06" N,150° 14' 34.90" W,T,1.00E+25,1.00E+25,SM,0.0451,5.4592,102.6834,8.125787,20,7,24,2008,13,29,6,-26.358056
379662.827,7832949.329,70° 34' 21.57" N,150° 14' 34.87" W,T,1.00E+25,1.00E+25,SM,0.0483,5.5074,102.7317,8.271556,21,7,24,2008,13,29,27,-34.242965
379658.274,7833031.116,70° 34' 24.20" N,150° 14' 35.73" W,T,1.00E+25,1.00E+25,SM,0.0507,5.5582,102.7824,9.613669,19,7,24,2008,13,29,46,-37.396452
379672.794,7833120.820,70° 34' 27.11" N,150° 14' 34.79" W,T,1.00E+25,1.00E+25,SM,0.0563,5.6144,102.8387,10.13179,20,7,24,2008,13,30,6,-27.935198
379672.794,7833188.028,70° 34' 29.28" N,150° 14' 35.14" W,T,1.00E+25,1.00E+25,SM,0.0416,5.6561,102.8803,9.991314,15,7,24,2008,13,30,21,-23.203772
379675.211,7833239.096,70° 34' 30.93" N,150° 14' 35.17" W,T,1.00E+25,1.00E+25,SM,0.0317,5.6877,102.912,8.769702,13,7,24,2008,13,30,34,-23.203772
379683.265,7833273.852,70° 34' 32.06" N,150° 14' 34.57" W,T,1.00E+25,1.00E+25,SM,0.0221,5.7098,102.9341,6.119661,13,7,24,2008,13,30,47,-16.896004
379694.470,7833307.323,70° 34' 33.16" N,150° 14' 33.65" W,T,1.00E+25,1.00E+25,SM,0.0219,5.7317,102.956,4.142398,19,7,24,2008,13,31,6,-27.935198
379696.925,7833335.863,70° 34' 34.09" N,150° 14' 33.56" W,T,1.00E+25,1.00E+25,SM,0.0177,5.7494,102.9737,4.913519,13,7,24,2008,13,31,19,-27.935198
379704.961,7833389.982,70° 34' 35.84" N,150° 14' 33.07" W,T,1.00E+25,1.00E+25,SM,0.0339,5.7833,103.0076,6.100195,20,7,24,2008,13,31,39,-26.358056
379715.730,7833455.870,70° 34' 37.99" N,150° 14' 32.36" W,T,1.00E+25,1.00E+25,SM,0.0414,5.8247,103.0489,6.203096,24,7,24,2008,13,32,3,-31.088681
379720.866,7833516.102,70° 34' 39.94" N,150° 14' 32.18" W,T,1.00E+25,1.00E+25,SM,0.0374,5.8621,103.0864,7.094727,19,7,24,2008,13,32,22,-35.819707
379729.050,7833582.315,70° 34' 42.08" N,150° 14' 31.73" W,T,1.00E+25,1.00E+25,SM,0.0413,5.9035,103.1277,7.830116,19,7,24,2008,13,32,41,-31.088681
379731.553,7833633.750,70° 34' 43.75" N,150° 14' 31.75" W,T,1.00E+25,1.00E+25,SM,0.0319,5.9354,103.1596,7.177155,16,7,24,2008,13,32,57,-35.819707
379730.233,7833684.460,70° 34' 45.38" N,150° 14' 32.14" W,T,1.00E+25,1.00E+25,SM,0.0314,5.9668,103.191,7.069736,16,7,24,2008,13,33,13,-34.242965
379735.886,7833725.302,70° 34' 46.70" N,150° 14' 31.81" W,T,1.00E+25,1.00E+25,SM,0.0255,5.9923,103.2166,5.7464,16,7,24,2008,13,33,29,-35.819707
379733.614,7833769.733,70° 34' 48.13" N,150° 14' 32.26" W,T,1.00E+25,1.00E+25,SM,0.0276,6.0199,103.2441,5.835613,17,7,24,2008,13,33,46,-46.8585
379735.859,7833815.225,70° 34' 49.60" N,150° 14' 32.27" W,T,1.00E+25,1.00E+25,SM,0.0282,6.0481,103.2723,7.254863,14,7,24,2008,13,34,0,-31.088681
379728.683,7833856.008,70° 34' 50.90" N,150° 14' 33.18" W,T,1.00E+25,1.00E+25,SM,0.0256,6.0737,103.298,6.155717,15,7,24,2008,13,34,15,-43.704216
379731.586,7833896.438,70° 34' 52.21" N,150° 14' 33.11" W,T,1.00E+25,1.00E+25,SM,0.0251,6.0988,103.3231,3.929967,23,7,24,2008,13,34,38,-32.665823
379740.675,7833900.792,70° 34' 52.37" N,150° 14' 32.25" W,T,1.00E+25,1.00E+25,SM,0.0062,6.1051,103.3293,1.021104,22,7,24,2008,13,35,0,-26.358056
379743.561,7833900.266,70° 34' 52.36" N,150° 14' 31.97" W,T,1.00E+25,1.00E+25,SM,0.0018,6.1069,103.3312,0.466486,14,7,24,2008,13,35,14,-37.396452
379748.730,7833893.847,70° 34' 52.16" N,150° 14' 31.43" W,T,1.00E+25,1.00E+25,SM,0.0051,6.112,103.3363,1.312479,14,7,24,2008,13,35,28,-29.51194
379752.803,7833890.091,70° 34' 52.04" N,150° 14' 31.02" W,T,1.00E+25,1.00E+25,SM,0.0034,6.1154,103.3397,3.087131,4,7,24,2008,13,35,32,-27.935198
379773.617,7833873.899,70° 34' 51.56" N,150° 14' 28.92" W,T,1.00E+25,1.00E+25,SM,0.0163,6.1318,103.356,3.673555,16,7,24,2008,13,35,48,-21.627031
