X,Y,LATITUDE,LONGITUDE,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
824433.702,7844419.839,70° 29' 41.48" N,150° 16' 03.00" W,,7,SM,14.9613,0,48.0881,2.78681,19327,24,2008,15,52,53,-10.917847,1.00E+25,1.00E+25
824404.011,7844415.728,70° 29' 41.49" N,150° 16' 05.90" W,,7,SM,0.0185,0.0185,48.1066,6.671881,10,24,2008,15,53,3,-12.359863,1.00E+25,1.00E+25
824375.499,7844410.848,70° 29' 41.47" N,150° 16' 08.69" W,,7,SM,0.0179,0.0364,48.1245,6.438578,10,24,2008,15,53,13,-11.398438,1.00E+25,1.00E+25
824350.120,7844403.413,70° 29' 41.35" N,150° 16' 11.21" W,,7,SM,0.0164,0.0528,48.1409,5.886096,10,24,2008,15,53,23,-10.437256,1.00E+25,1.00E+25
824323.644,7844394.880,70° 29' 41.20" N,150° 16' 13.86" W,,7,SM,0.0172,0.07,48.1581,6.191613,10,24,2008,15,53,33,-10.917847,1.00E+25,1.00E+25
824295.699,7844387.827,70° 29' 41.10" N,150° 16' 16.62" W,,7,SM,0.0178,0.0878,48.1759,6.415485,10,24,2008,15,53,43,-11.87915,1.00E+25,1.00E+25
824270.603,7844396.230,70° 29' 41.48" N,150° 16' 18.90" W,,7,SM,0.0164,0.1042,48.1922,5.891176,10,24,2008,15,53,53,-12.359863,1.00E+25,1.00E+25
824249.085,7844402.519,70° 29' 41.78" N,150° 16' 20.87" W,,7,SM,0.0139,0.118,48.2061,4.990897,10,24,2008,15,54,3,-15.243652,1.00E+25,1.00E+25
824223.915,7844407.527,70° 29' 42.06" N,150° 16' 23.21" W,,7,SM,0.0159,0.1339,48.222,5.712151,10,24,2008,15,54,13,-15.243652,1.00E+25,1.00E+25
824185.584,7844412.323,70° 29' 42.39" N,150° 16' 26.80" W,,7,SM,0.0239,0.1578,48.2459,8.598959,10,24,2008,15,54,23,-15.724365,1.00E+25,1.00E+25
