X,Y,LATITUDE,LONGITUDE,LABEL,ATTR_1,ATTR_2,ATTR_3
534467.600,7796150.800,70° 16' 09.05" N,146° 05' 06.68" W,,17,39,20
534468.500,7796150.700,70° 16' 09.04" N,146° 05' 06.59" W,,17,39,20.5
534469.500,7796150.700,70° 16' 09.04" N,146° 05' 06.50" W,,17,39,21
534470.400,7796150.700,70° 16' 09.04" N,146° 05' 06.41" W,,17,39,21.5
534471.400,7796150.700,70° 16' 09.04" N,146° 05' 06.32" W,,17,39,22
534472.400,7796150.700,70° 16' 09.04" N,146° 05' 06.22" W,,17,39,22.5
534473.300,7796150.700,70° 16' 09.04" N,146° 05' 06.14" W,,17,39,23
534474.300,7796150.700,70° 16' 09.04" N,146° 05' 06.04" W,,17,39,23.5
534475.200,7796150.600,70° 16' 09.04" N,146° 05' 05.95" W,,17,39,24
534476.200,7796150.600,70° 16' 09.04" N,146° 05' 05.86" W,,17,39,24.5
534477.100,7796150.500,70° 16' 09.03" N,146° 05' 05.77" W,,17,39,25
534478.100,7796150.500,70° 16' 09.03" N,146° 05' 05.68" W,,17,39,25.5
534479.000,7796150.500,70° 16' 09.03" N,146° 05' 05.59" W,,17,39,26
534480.000,7796150.500,70° 16' 09.03" N,146° 05' 05.50" W,,17,39,26.5
534480.900,7796150.500,70° 16' 09.03" N,146° 05' 05.41" W,,17,39,27
534481.900,7796150.400,70° 16' 09.03" N,146° 05' 05.31" W,,17,39,27.5
534482.800,7796150.400,70° 16' 09.03" N,146° 05' 05.23" W,,17,39,28
534483.700,7796150.400,70° 16' 09.03" N,146° 05' 05.14" W,,17,39,28.5
534484.700,7796150.400,70° 16' 09.02" N,146° 05' 05.05" W,,17,39,29
534485.600,7796150.400,70° 16' 09.02" N,146° 05' 04.96" W,,17,39,29.5
534486.500,7796150.300,70° 16' 09.02" N,146° 05' 04.87" W,,17,39,30
534487.500,7796150.300,70° 16' 09.02" N,146° 05' 04.78" W,,17,39,30.5
534488.400,7796150.300,70° 16' 09.02" N,146° 05' 04.69" W,,17,39,31
534489.400,7796150.300,70° 16' 09.02" N,146° 05' 04.60" W,,17,39,31.5
534490.300,7796150.300,70° 16' 09.02" N,146° 05' 04.51" W,,17,39,32
534491.300,7796150.300,70° 16' 09.02" N,146° 05' 04.42" W,,17,39,32.5
534492.200,7796150.300,70° 16' 09.02" N,146° 05' 04.33" W,,17,39,33
534493.100,7796150.300,70° 16' 09.02" N,146° 05' 04.24" W,,17,39,33.5
534494.100,7796150.200,70° 16' 09.01" N,146° 05' 04.15" W,,17,39,34
534495.000,7796150.200,70° 16' 09.01" N,146° 05' 04.06" W,,17,39,34.5
534495.900,7796150.200,70° 16' 09.01" N,146° 05' 03.98" W,,17,39,35
534496.800,7796150.100,70° 16' 09.01" N,146° 05' 03.89" W,,17,39,35.5
534497.800,7796150.100,70° 16' 09.01" N,146° 05' 03.80" W,,17,39,36
534498.700,7796150.100,70° 16' 09.01" N,146° 05' 03.71" W,,17,39,36.5
534499.600,7796150.200,70° 16' 09.01" N,146° 05' 03.62" W,,17,39,37
534500.600,7796150.200,70° 16' 09.01" N,146° 05' 03.53" W,,17,39,37.5
534501.500,7796150.200,70° 16' 09.01" N,146° 05' 03.44" W,,17,39,38
534502.400,7796150.100,70° 16' 09.01" N,146° 05' 03.36" W,,17,39,38.5
534503.400,7796150.100,70° 16' 09.01" N,146° 05' 03.26" W,,17,39,39
534504.300,7796150.100,70° 16' 09.01" N,146° 05' 03.17" W,,17,39,39.5
534505.300,7796150.100,70° 16' 09.01" N,146° 05' 03.08" W,,17,39,40
534506.200,7796150.100,70° 16' 09.00" N,146° 05' 02.99" W,,17,39,40.5
534507.100,7796150.100,70° 16' 09.00" N,146° 05' 02.91" W,,17,39,41
534508.100,7796150.100,70° 16' 09.00" N,146° 05' 02.81" W,,17,39,41.5
534509.000,7796150.100,70° 16' 09.00" N,146° 05' 02.73" W,,17,39,42
534509.900,7796150.100,70° 16' 09.00" N,146° 05' 02.64" W,,17,39,42.5
534510.900,7796150.100,70° 16' 09.00" N,146° 05' 02.54" W,,17,39,43
534511.800,7796150.100,70° 16' 09.00" N,146° 05' 02.46" W,,17,39,43.5
534512.800,7796150.100,70° 16' 09.00" N,146° 05' 02.36" W,,17,39,44
534513.700,7796150.100,70° 16' 09.00" N,146° 05' 02.28" W,,17,39,44.5
534514.700,7796150.100,70° 16' 09.00" N,146° 05' 02.18" W,,17,39,45
534515.700,7796150.100,70° 16' 09.00" N,146° 05' 02.09" W,,17,39,45.5
534516.600,7796150.200,70° 16' 09.00" N,146° 05' 02.00" W,,17,39,46
534517.600,7796150.200,70° 16' 09.00" N,146° 05' 01.90" W,,17,39,46.5
534518.500,7796150.200,70° 16' 09.00" N,146° 05' 01.82" W,,17,39,47
534519.500,7796150.200,70° 16' 09.00" N,146° 05' 01.72" W,,17,39,47.5
534520.500,7796150.200,70° 16' 09.00" N,146° 05' 01.63" W,,17,39,48
534521.400,7796150.200,70° 16' 09.00" N,146° 05' 01.54" W,,17,39,48.5
534522.400,7796150.200,70° 16' 09.00" N,146° 05' 01.45" W,,17,39,49
534523.400,7796150.200,70° 16' 09.00" N,146° 05' 01.35" W,,17,39,49.5
534524.400,7796150.300,70° 16' 09.00" N,146° 05' 01.25" W,,17,39,50
534525.300,7796150.300,70° 16' 09.00" N,146° 05' 01.17" W,,17,39,50.5
534526.300,7796150.300,70° 16' 09.00" N,146° 05' 01.07" W,,17,39,51
