Time,File,Total,bearded seal,beluga,Unknown,bowhead,Boating,minke,Walrus,
01-Oct-07 00:16:29,shell-367F0816.a28..1191197789.2007-10-01-00-16-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 00:50:10,shell-367F0817.a28..1191199810.2007-10-01-00-50-10.wav_chan0.xml,0,0,0,0,0,
01-Oct-07 01:23:52,shell-367F0818.a28..1191201832.2007-10-01-01-23-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 01:57:34,shell-367F0819.a28..1191203854.2007-10-01-01-57-34.wav_chan0.xml,3,0,0,3,0,0,0,0,
01-Oct-07 02:31:15,shell-367F0820.a28..1191205875.2007-10-01-02-31-15.wav_chan0.xml,5,0,0,0,5,0,0,0,
01-Oct-07 03:04:57,shell-367F0821.a28..1191207897.2007-10-01-03-04-57.wav_chan0.xml,2,0,0,1,1,0,0,0,
01-Oct-07 03:38:38,shell-367F0822.a28..1191209918.2007-10-01-03-38-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 04:12:20,shell-367F0823.a28..1191211940.2007-10-01-04-12-20.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 04:46:02,shell-367F0824.a28..1191213962.2007-10-01-04-46-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 05:19:44,shell-367F0825.a28..1191215984.2007-10-01-05-19-44.wav_chan0.xml,2,2,0,0,0,0,0,0,
01-Oct-07 05:53:27,shell-367F0826.a28..1191218007.2007-10-01-05-53-27.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 06:27:10,shell-367F0827.a28..1191220030.2007-10-01-06-27-10.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 07:00:54,shell-367F0828.a28..1191222054.2007-10-01-07-00-54.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 07:34:38,shell-367F0829.a28..1191224078.2007-10-01-07-34-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 08:08:23,shell-367F0830.a28..1191226103.2007-10-01-08-08-23.wav_chan0.xml,0,0,0,0,0,0,0,
01-Oct-07 08:42:07,shell-367F0831.a28..1191228127.2007-10-01-08-42-07.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 09:15:51,shell-367F0832.a28..1191230151.2007-10-01-09-15-51.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 09:49:33,shell-367F0833.a28..1191232173.2007-10-01-09-49-33.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 10:23:15,shell-367F0834.a28..1191234195.2007-10-01-10-23-15.wav_chan0.xml,2,0,0,0,2,0,0,0,
01-Oct-07 10:56:56,shell-367F0835.a28..1191236216.2007-10-01-10-56-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 11:30:38,shell-367F0836.a28..1191238238.2007-10-01-11-30-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 12:04:19,shell-367F0837.a28..1191240259.2007-10-01-12-04-19.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 12:38:01,shell-367F0838.a28..1191242281.2007-10-01-12-38-01.wav_chan0.xml,1,0,0,1,0,0,0,0,
01-Oct-07 13:11:42,shell-367F0839.a28..1191244302.2007-10-01-13-11-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 13:45:24,shell-367F0840.a28..1191246324.2007-10-01-13-45-24.wav_chan0.xml,3,0,0,3,0,0,0,0,
01-Oct-07 14:19:06,shell-367F0841.a28..1191248346.2007-10-01-14-19-06.wav_chan0.xml,1,1,0,0,0,0,0,0,
01-Oct-07 14:52:49,shell-367F0842.a28..1191250369.2007-10-01-14-52-49.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 15:26:33,shell-367F0843.a28..1191252393.2007-10-01-15-26-33.wav_chan0.xml,4,0,0,4,0,0,0,0,
01-Oct-07 16:00:17,shell-367F0844.a28..1191254417.2007-10-01-16-00-17.wav_chan0.xml,1,1,0,0,0,0,0,0,
01-Oct-07 16:34:01,shell-367F0845.a28..1191256441.2007-10-01-16-34-01.wav_chan0.xml,2,0,0,2,0,0,0,0,
01-Oct-07 17:07:46,shell-367F0846.a28..1191258466.2007-10-01-17-07-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 17:41:30,shell-367F0847.a28..1191260490.2007-10-01-17-41-30.wav_chan0.xml,17,2,0,15,0,0,0,0,
01-Oct-07 18:15:12,shell-367F0848.a28..1191262512.2007-10-01-18-15-12.wav_chan0.xml,4,0,0,4,0,0,0,0,
01-Oct-07 18:48:53,shell-367F0849.a28..1191264533.2007-10-01-18-48-53.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 19:22:35,shell-367F0850.a28..1191266555.2007-10-01-19-22-35.wav_chan0.xml,0,0,0,0,0,0,0,0,
01-Oct-07 19:56:16,shell-367F0851.a28..1191268576.2007-10-01-19-56-16.wav_chan0.xml,2,0,0,2,0,0,0,0,
01-Oct-07 20:29:58,shell-367F0852.a28..1191270598.2007-10-01-20-29-58.wav_chan0.xml,16,0,3,8,5,0,0,0,
01-Oct-07 21:03:40,shell-367F0853.a28..1191272620.2007-10-01-21-03-40.wav_chan0.xml,3,0,1,2,0,0,0,0,
01-Oct-07 21:37:21,shell-367F0854.a28..1191274641.2007-10-01-21-37-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
