CLIENT_OPERATOR,RECORDER_ID,RECORDER_TYPE,RECORDER_SERIAL_NUM,LATITUDE,LONGITUDE,LATITUDE_ANCHOR,LONGITUDE_ANCHOR,LOCATION,DEPTH_M,DATE_TIME_DEPLOY_LOC,DEPLOYMENT,DATE_TIME_REC_STRT_LOC,DATE_TIME_REC_STOP_LOC,DATE_TIME_AUTORELEASE_LOC,ACOUST_RELEASE_CODE,DATE_TIME_RECOVER_LOC,SAMPLE_RATE_HZ,BIT_DEPTH,DUTY_CYCLE_ON,DUTY_CYCLE_PCT,RECORDER_MODEL,DYR_LOWER_LIM,DYR_UPPER_LIM,PROGRAM_NAME,STUDY_YEAR,A_P,REPORT,CONTRACTOR,NOTES
CPAI/Shell/StatOil,B5,Acoustic,30,71.35803,-156.93563,,,,64,8/1/2010 15:20,,7/22/2010 1:08,10/16/2010 7:01,,,10/16/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,B15,Acoustic,2,71.50278,-157.50222,,,,102,8/1/2010 16:57,,7/21/2010 23:59,10/16/2010 9:29,,,10/16/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,B30,Acoustic,18,71.70718,-157.65005,,,,62,8/1/2010 18:31,,7/21/2010 21:10,10/16/2010 11:12,,,10/16/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,B50,Acoustic,32,71.95558,-158.22288,,,,59.79999924,8/1/2010 20:49,,7/22/2010 1:59,10/16/2010 13:29,,,10/16/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG01,Acoustic,16,71.27733,-163.3488,,,,42.66999817,7/28/2010 17:03,,7/21/2010 20:40,10/12/2010 7:03,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG02,Acoustic,27,71.34895,-163.34337,,,,41.75999832,7/28/2010 14:35,,7/22/2010 0:06,10/12/2010 17:21,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG03,Acoustic,26,71.31115,-163.1534,,,,42.66999817,7/28/2010 15:11,,7/21/2010 20:51,10/12/2010 18:05,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG04,Acoustic,33,71.2397,-163.1595,,,,42.97999954,7/28/2010 15:51,,7/21/2010 23:52,10/12/2010 19:10,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG05,Acoustic,34,71.20575,-163.35612,,,,43.27999878,7/28/2010 12:35,,7/22/2010 0:47,10/12/2010 19:53,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG06,Acoustic,17,71.24325,-163.54585,,,,43.27999878,7/28/2010 13:18,,7/21/2010 23:38,10/12/2010 20:38,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
CPAI/Shell/StatOil,BG07,Acoustic,19,71.31477,-163.54002,,,,43.59000015,7/28/2010 14:00,,7/21/2010 22:24,10/12/2010 16:39,,,10/12/2010 0:00,16000,24,no,0,AMAR,,,Chukchi Environmental Studies Program,2010,Actual,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC,
