RECORDER_ID,SOUND_CLIP,SOUND_SOURCE,DATE_TIME_REC_LOC,DESCRIPTION,STUDY_YEAR,NOTES,REPORT,CONTRACTOR
B5,b05_bh_2009_04_01_2300.wav,BHW,4/1/09 11:00 PM,clip of a bowhead whale song,2009,More info in figure_info.xls. Spectrogram snapshot: b05_bh_2009_04_01_2300.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
B15,b15_ww_2009_10_11.wav,WW,10/11/09 8:46 PM,clip of beluga whale calls,2009,More info in figure_info.xls. Spectrogram snapshot: b15_ww_2009_10_11.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
B50,b50_bh_2010_09_30.wav,BHW,9/30/10 10:11 AM,clip of bowhead whale moans,2010,More info in figure_info.xls. Spectrogram snapshot: b50_bh_2010_09_30.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
B50,b50_seismic_2010_09_29.wav,ARG,9/29/10 8:30 PM,clip of airgun pulses,2010,More info in figure_info.xls. Spectrogram snapshot: b50_seismic_2010_09_29.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_hw_2010_08_07.wav,HW,8/7/10 8:07 PM,clip of humpback whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_hw_2010_08_07.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_kw_2010_09_05.wav,KW,9/5/10 6:07 AM,clip of killer whale calls,2009,More info in figure_info.xls. Spectrogram snapshot: cl50_kw_2010_09_05.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_mw_2009_10_31_1918.wav,MW,10/31/09 7:18 PM,clip of minke whale 'boing' calls,2009,More info in figure_info.xls. Spectrogram snapshot: cl50_mw_2009_10_31.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_rs_2008_11_04.wav,RS,11/4/08 1:30 PM,clip of ringed seal calls,2008,More info in figure_info.xls. Spectrogram snapshot: cl50_rs_2008_11_04.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_rs_2010_04_20.wav,RS,4/20/10 11:19 AM,clip of ringed seal calls,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_rs_2010_04_20.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_wa_2010_07_29.wav,WA,7/29/10 1:00 AM,clip of walrus grunts,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_wa_2010_07_29.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
CL50,cl50_ww_2010_04_25.wav,WW,4/25/10 11:17 PM,clip of beluga whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: cl50_ww_2010_04_25.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
PL35,pl35_gw_2010_07_28.wav,GW,7/28/10 4:20 PM,clip of gray whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: pl35_gw_2010_07_28.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
PL50,pl50_fw_2010-10-03.wav,FW,10/3/10 4:12 AM,clip of fin whale calls,2010,More info in figure_info.xls. Spectrogram snapshot: pl50_fw_2010-10-03.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
PLN40,pln40_vessel_2010_07_29.wav,VS,7/29/10 12:25 AM,clip of a vessel passing by the recorder. Lloyd's mirror effect visible in spectrogram.,2010,More info in figure_info.xls. Spectrogram snapshot: pln40_vessel_2010_07_29.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
PLN40,pln40_wa_2010_01_22.wav,WA,1/22/10 8:13 AM,clip of walrus knocks,2010,More info in figure_info.xls. Spectrogram snapshot: pln40_wa_2010_01_22.png,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
