DATE_FIRST_LOC,RECORDER_ID,SPECIES,DATE_LAST_LOC,NOTES,DETECTION_GRAPH,STUDY_YEAR,REPORT,CONTRACTOR
11/1/2009,B5,BHW,8/1/2010,"Bowhead presence for overwinter 2009-2010 showing recorders B05, WN40, W50, W35, PLN80, PLN40, PL50, CL50",bh_pres_ow_2009_2010.png,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,PLN80,BHW,10/15/2010,"Bowhead presence for summer 2010 showing recorders PLN80, PLN60, PLN40, KL01, PL50, PL20, CLN120, CLN90, CLN40",bh_pres_summer_2010_part_1.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,B50,BHW,10/15/2010,"Bowhead presence for summer 2010 showing recorders B50, B30, B15, B05, WN40, WN20, W35, W05, S01, BG01",bh_pres_summer_2010_part_2.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
11/1/2009,B5,BS,8/1/2010,"Bearded seal presence for overwinter 2009-2010 showing recorders B05, WN40, W50, W35, PLN80, PLN40, PL50, CL50",bs_pres_ow_2009_2010.png,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,PL50,BS,10/15/2010,"Bearded seal presence for summer 2010 showing recorders PL50, PL35, PL20, PL05, CLN40, CL50, CL05",bs_pres_summer_2010_part_1.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,SO01,BS,10/15/2010,"Bearded seal presence for summer 2010 showing recorders S01, BG01, PLN80, PLN60, PLN40, KL01, CLN120, CLN90",bs_pres_summer_2010_part_2.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,B50,BS,10/15/2010,"Bearded seal presence for summer 2010 showing recorders B50, B30, B15, B05, WN40, WN20, W35, W05",bs_pres_summer_2010_part_3.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,PL50,FW,10/15/2010,"Fin whale presence for summer 2010 showing recorders PL50, CLN90, CL50",fw_pres_summer_2010.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
11/1/2009,PL50,GW,8/1/2010,Gray whale presence for overwinter 2009-2010 showing recorders PL50 and CL50,gw_pres_ow_2009_2010.png,2009,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,PL50,GW,10/15/2010,"Gray whale presence for summer 2010 showing recorders PL50, PL35, PL20, PL05, CL50, CL20 AND CL05",gw_pres_summer_2010_part_1.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,WN20,GW,10/15/2010,"Gray whale presence for summer 2010 showing recorders WN20, W05, PLN40, KL01",gw_pres_summer_2010_part_2.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
8/1/2010,PL50,KW,10/15/2010,"Killer whale presence for summer 2010 showing recorders PL50, PL35, PL20, CLN120, CLN40, CL50, CL20 and CL05",kw_pres_summer_2010_part_1.png,2010,Northeastern Chukchi Sea Joint Acoustic Monitoring Program 2009-2010,JASC
