CATEGORY,PHOTO_ID,DATE_TAKEN,LATITUDE,LONGITUDE,DESCRIP,LOCATION,KEYWORD,CONTRACTOR,REPORT,METADATA,NOTES
Benthic Ecology,20120921_Drop_Cam_BF003_001.mts,9/21/2012 8:30,71.111867,-163.03185,Drop camera movie station BF003,BF003,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF003_002.mts,9/21/2012 8:47,71.11015,-163.029067,Drop camera movie station BF003,BF003,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF003_003.mts,9/21/2012 8:53,71.109633,-163.027933,Drop camera movie station BF003,BF003,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF003_004.mts,9/21/2012 8:56,71.1094,-163.027233,Drop camera movie station BF003,BF003,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF007_001.mts,9/21/2012 0:11,71.241533,-163.404733,Drop camera movie station BF007,BF007,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF007_002.mts,9/21/2012 0:40,71.216533,-163.49295,Drop camera movie station BF007,BF007,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF007_003.mts,9/21/2012 0:55,71.19345,-163.57365,Drop camera movie station BF007,BF007,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF011_001.mts,9/20/2012 21:50,71.359667,-163.753783,Drop camera movie station BF011,BF011,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF011_002.mts,9/20/2012 22:17,71.313233,-163.606317,Drop camera movie station BF011,BF011,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF013_001.mts,9/20/2012 0:37,71.361917,-163.001733,Drop camera movie station BF013,BF013,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF013_002.mts,9/20/2012 1:24,71.358333,-163.167983,Drop camera movie station BF013,BF013,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF013_003.mts,9/20/2012 1:31,71.35805,-163.217067,Drop camera movie station BF013,BF013,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF015_001.mts,9/21/2012 22:02,71.352667,-162.227933,Drop camera movie station BF015,BF015,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF015_002.mts,9/21/2012 22:35,71.375267,-162.291867,Drop camera movie station BF015,BF015,Benthic,,,,
Benthic Ecology,20120921_Drop_Cam_BF015_003.mts,9/21/2012 22:44,71.391017,-162.33575,Drop camera movie station BF015,BF015,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF017_001.mts,9/20/2012 4:06,71.488783,-163.384833,Drop camera movie station BF017,BF017,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF017_002.mts,9/20/2012 5:01,71.550983,-163.565383,Drop camera movie station BF017,BF017,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF017_003.mts,9/20/2012 5:18,71.580033,-163.65345,Drop camera movie station BF017,BF017,Benthic,,,,
Benthic Ecology,20120920_Drop_Cam_BF017_004.mts,9/20/2012 5:25,71.591717,-163.6894,Drop camera movie station BF017,BF017,Benthic,,,,
Benthic Ecology,20120922_Drop_Cam_BF019_001.mts,9/22/2012 0:59,71.482233,-162.607917,Drop camera movie station BF019,BF019,Benthic,,,,
