drive,WAVS,CSVS,EXCELS
shell.ax29,63455,0,0
shell.ax30,76226,8,0
shell.ax31,57088,0,0
shell.ax32,65306,0,0
shell.ax33,77680,15,0
shell.ax35,63358,0,0
shell.ax36,44618,0,0
shell.ax37,48260,0,0
shell.ax38,42271,0,0
shell.ax39,38272,0,0
shell.ax40,20392,0,0
shell.ax42,14446,0,0
shell.ax43,14426,0,0
shell.ax44,14242,0,0
shell.ax45,14014,0,0
shell.ax46,7004,0,0
shell.ax47,0,0,0
shell.ax48,0,0,0
shell.ax49,0,0,0
shell.ax50,34326,12,0
shell.ax51,0,2987,0
shell.ax52,6,0,0
shell.ax53,303,47,339
shell.ax54,0,0,102
shell.ax55,0,0,0
shell.ax56,0,0,0
shell.ax57,10109,0,0
shell.ax58,13143,0,0
shell.ax59,10263,0,0
shell.ax60,10250,0,0
shell.ax61,10321,0,0
shell.ax63,0,0,0
shell.ax64,0,0,0
shell.ax65,46238,0,0
shell.ax66,26431,59,313
shell.ax67,0,11,0
shell.ax68,0,12,0
shell.ax69,0,0,0
shell.ax70,64659,36,0
shell.ax72,31325,54,0
shell.ax73,54622,58,0
shell.ax74,0,242,4
shell.ax75,0,9,0
shell.ax76,0,26,0
shell.ax77,0,26,0
shell.ax78,0,3,0
shell.ax79,0,3,0
shell.ax80,0,1586,0
shell.ax81,13334,16,23
shell.ax82,0,0,0
shell.ax83,0,0,0
shell.ax84,0,0,0
shell.ax85,0,0,0
shell.ax86,0,0,0
shell.ax87,0,0,0
shell.ax88,0,0,0
shell.ax89,0,0,0
shell.ax90,0,0,12
shell.ax91,0,64,1144
